N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;56;4;92,3;0;0;2,6;3;0;0;11/04/2018;1 Ouest;134;1;26,5;SO
2;79;0,8;41;0;0;16,5;3;0;0;11/04/2018;1 Ouest;134;1;26,5;SO
3;103;4;133;0;0;5;4;0;0;11/04/2018;1 Ouest;134;1;26,5;SO
1;8;4;0;77;58;0,5;4;0;0;11/04/2018;1 Ouest;134;2;296,5;SE
1;38;5,5;242;0;0;37;4;1;0;11/04/2018;1 Ouest;134;3;206,5;NE
1;24;3;0;56;30;0,74;4;0;0;11/04/2018;1 Ouest;134;4;116,5;NO
2;60;5;78;0;0;15;3;0;0;11/04/2018;1 Ouest;134;4;116,5;NO
3;106;2,5;0;120;80;0,98;4;0;0;11/04/2018;1 Ouest;134;4;116,5;NO
