N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;3,5;0;66;45;6;5;270;1;0;21/03/2018;2 Est;144;1;26,5;SO
2;27;0;48;58;15;5;310;1;0;21/03/2018;2 Est;144;1;26,5;SO
3;45;0;0;32;5;5;60;0;0;21/03/2018;2 Est;144;1;26,5;SO
4;86;0;12;15;4,5;4;130;0;0;21/03/2018;2 Est;144;1;26,5;SO
1;20;0;10,5;14,6;6,5;2;210;0;0;21/03/2018;2 Est;144;2;296,5;SE
2;70;0;20;15;11;1;210;1;0;21/03/2018;2 Est;144;2;296,5;SE
3;88;0;14;17;0,8;2;210;0;0;21/03/2018;2 Est;144;2;296,5;SE
4;111;0;17,5;18;2,66;5;160;0;0;21/03/2018;2 Est;144;2;296,5;SE
1;25;0;0;43;5;5;340;1;0;21/03/2018;2 Est;144;3;206,5;NE
2;29,5;0;13;11;1,3;5;180;0;0;21/03/2018;2 Est;144;3;206,5;NE
3;56;0;39;44;12;4;190;1;0;21/03/2018;2 Est;144;3;206,5;NE
4;69;0;36;37;7;3;90;1;0;21/03/2018;2 Est;144;3;206,5;NE
5;73;0;0;19;4,3;5;280;0;0;21/03/2018;2 Est;144;3;206,5;NE
6;85;0;0;12;2;4;210;0;0;21/03/2018;2 Est;144;3;206,5;NE
7;96;0;13;19;6,5;1;300;0;0;21/03/2018;2 Est;144;3;206,5;NE
8;107;0;11,1;13;4,2;3;90;0;0;21/03/2018;2 Est;144;3;206,5;NE
1;2;0;15;18,5;8,4;2;240;1;0;21/03/2018;2 Est;144;4;116,5;NO
2;14;0;0;28,5;7,9;5;120;1;0;21/03/2018;2 Est;144;4;116,5;NO
3;25;0;0;18,5;4;5;240;0;0;21/03/2018;2 Est;144;4;116,5;NO
4;36;0;0;13,5;1,5;4;70;0;0;21/03/2018;2 Est;144;4;116,5;NO
5;58;0;0;23,9;1,8;5;150;1;0;21/03/2018;2 Est;144;4;116,5;NO
6;77;0;17,9;14,7;8,6;5;90;1;0;21/03/2018;2 Est;144;4;116,5;NO
