N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;33,2;0;0;44;3,4;5;90;1;0;20/04/2018;1 Est;124;1;26,5;SO
2;34;0;0;15;4,2;5;330;0;0;20/04/2018;1 Est;124;1;26,5;SO
3;44,4;0;0;31;1,2;5;120;0;0;20/04/2018;1 Est;124;1;26,5;SO
1;5,3;0;0;18;5;5;70;1;0;20/04/2018;1 Est;124;2;296,5;SE
2;49;0;10;11;0,59;1;210;0;0;20/04/2018;1 Est;124;2;296,5;SE
3;51;0;11;13;0,65;1;60;0;0;20/04/2018;1 Est;124;2;296,5;SE
4;71;0;13;17;2,2;4;60;0;0;20/04/2018;1 Est;124;2;296,5;SE
5;88,5;0;0;16;5,2;5;330;1;0;20/04/2018;1 Est;124;2;296,5;SE
6;96;0;0;19;2,1;5;330;1;0;20/04/2018;1 Est;124;2;296,5;SE
7;106,7;0;28;28;15,8;4;90;1;0;20/04/2018;1 Est;124;2;296,5;SE
1;6,5;0;0;17;2;5;330;1;0;20/04/2018;1 Est;124;3;206,5;NE
2;32,4;0;0;24;13,5;4;180;1;0;20/04/2018;1 Est;124;3;206,5;NE
3;34,3;0;0;14;6,1;5;340;1;0;20/04/2018;1 Est;124;3;206,5;NE
4;37;56;17;17;12,2;5;330;1;0;20/04/2018;1 Est;124;3;206,5;NE
5;78,3;0;0;10;1,7;4;210;0;0;20/04/2018;1 Est;124;3;206,5;NE
1;48,5;0;0;25;8,4;5;240;1;0;20/04/2018;1 Est;124;4;116,5;NO
