N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;8,8;105;34;36;24;3;210;1;0;06/03/2018;1 Ouest;135;1;26,5;SO
2;38,8;130;12;13;2,8;5;180;0;0;06/03/2018;1 Ouest;135;1;26,5;SO
3;72,8;36;10;11;1,58;3;40;0;0;06/03/2018;1 Ouest;135;1;26,5;SO
1;31,2;0;0;21;2;5;70;0;0;06/03/2018;1 Ouest;135;2;26,5;SE
2;66,4;51;19;15;3;4;0;0;0;06/03/2018;1 Ouest;135;2;26,5;SE
3;79,3;0;0;11;0,9;5;240;0;0;06/03/2018;1 Ouest;135;2;26,5;SE
4;98,5;0;13;14;1,6;5;190;0;0;06/03/2018;1 Ouest;135;2;26,5;SE
1;4,2;0;12;15;1;5;250;0;0;06/03/2018;1 Ouest;135;3;206,5;NE
2;7,4;130;43;58;1,8;5;10;1;0;06/03/2018;1 Ouest;135;3;206,5;NE
3;8,9;0;37;38;9,2;4;300;1;0;06/03/2018;1 Ouest;135;3;206,5;NE
4;31,9;0;15;14;11;2;130;1;0;06/03/2018;1 Ouest;135;3;206,5;NE
1;3,4;0;10;45;3,8;5;300;1;0;06/03/2018;1 Ouest;135;4;116,5;NO
2;19,9;0;15;11;1,54;5;120;0;0;06/03/2018;1 Ouest;135;4;116,5;NO
3;28,9;0;0;32;16,5;5;300;1;0;06/03/2018;1 Ouest;135;4;116,5;NO
4;48,4;0;30;40;19,7;5;340;1;0;06/03/2018;1 Ouest;135;4;116,5;NO
5;57,3;0;14;13;4;5;190;0;0;06/03/2018;1 Ouest;135;4;116,5;NO
6;60,9;0;43;47;20,4;4;20;1;0;06/03/2018;1 Ouest;135;4;116,5;NO
7;88,9;0;15;14;4,35;4;230;0;0;06/03/2018;1 Ouest;135;4;116,5;NO
