DATE;PARCELLE;CARRE;NUMERO;NOM VERNACULAIRE;GENRE;ESPECE;HAUTEUR;BDH;PLACEAU
10/03/2018;2 EST;305;84;Mokula;Microdesmis;puberula;4;2,6;2
10/03/2018;2 EST;305;85;;Radlkofera;calodendron;5;4,9;2
10/03/2018;2 EST;305;86;Moungamba;Dichostemma;glaucescens;4,5;3;2
10/03/2018;2 EST;305;87;Ebene;Diospyros;bipindensis;4,5;2,9;2
10/03/2018;2 EST;305;88;Akeul;Pausinystalia;macroceras;4;4,7;2
10/03/2018;2 EST;305;89;Drypetes;Drypetes;occidentalis;4;3,7;2
10/03/2018;2 EST;305;90;Mokula;Microdesmis;puberula;2,5;1,6;2
10/03/2018;2 EST;305;91;Mokula;Microdesmis;puberula;2,3;3,2;2
10/03/2018;2 EST;305;92;Essandja;Rinorea;cf welwitschii;3,5;2,4;2
10/03/2018;2 EST;305;93;Ebene;Diospyros;iturensis;3;2;2
10/03/2018;2 EST;305;94;Epissa;Grossera;macrantha;4,5;5;2
10/03/2018;2 EST;305;95;Essandja;Rinorea;cf welwitschii;2,5;1,4;2
10/03/2018;2 EST;305;96;Korou;Desplatsia;subericarpa;3,5;2,9;2
10/03/2018;2 EST;305;97;Ebene;Diospyros;bipindensis;5;4,8;2
10/03/2018;2 EST;305;98;Drypetes;Drypetes;laciniata;4,5;2,2;2
10/03/2018;2 EST;305;99;Mokula;Microdesmis;puberula;4,5;1,9;2
10/03/2018;2 EST;305;100;Ebene;Diospyros;iturensis;2,5;1,2;2
10/03/2018;2 EST;305;101;Essandja;Rinorea;cf welwitschii;3,8;3,8;2
10/03/2018;2 EST;305;102;Mokula;Microdesmis;puberula;2,5;1,3;2
10/03/2018;2 EST;305;103;Essandja;Rinorea;cf welwitschii;2;1,1;2
10/03/2018;2 EST;305;104;Essandja;Rinorea;cf welwitschii;3,5;2,9;2
10/03/2018;2 EST;305;105;Ingoka;Thomondersia;hensii;4,5;2,2;2
10/03/2018;2 EST;305;106;Essandja;Rinorea;cf welwitschii;2,8;1,2;2
10/03/2018;2 EST;305;107;;Rothmannia;macrocarpa;4,7;3,6;2
10/03/2018;2 EST;305;108;Ebene;Diospyros;iturensis;2,5;5,3;2
10/03/2018;2 EST;305;109;Essandja;Rinorea;cf welwitschii;2;1,8;2
10/03/2018;2 EST;305;110;Mubala;Pentaclethra;macrophylla;5,2;6,9;2
10/03/2018;2 EST;305;111a;Mokula;Microdesmis;puberula;2,4;3,6;2
10/03/2018;2 EST;305;11b;Mokula;Microdesmis;puberula;2;1,4;2
10/03/2018;2 EST;305;112;Garcinia;Garcinia;punctata;5,6;4,4;2
10/03/2018;2 EST;305;113;;Tabernanthe;iboga;2,5;1,2;2
10/03/2018;2 EST;305;114;Essandja;Rinorea;cf welwitschii;2;1,2;2
10/03/2018;2 EST;305;115;Mossebe;Hunteria;ballayi;2,5;2,7;2
10/03/2018;2 EST;305;116;;Colletoecema;dewevrei;7,3;9,5;2
10/03/2018;2 EST;305;117;Ingoyo;Pancovia;harmsiana;2,5;1;2
10/03/2018;2 EST;305;118;Essandja;Rinorea;cf welwitschii;4,5;3,3;2
10/03/2018;2 EST;305;119;Essandja;Rinorea;cf welwitschii;2;1,2;2
10/03/2018;2 EST;305;120;Essandja;Rinorea;cf welwitschii;5;4;2
10/03/2018;2 EST;305;121;;Isolana;pilosa;3;2,1;2
10/03/2018;2 EST;305;122;Mosseke;Cleistanthus;caudatus;6;4,2;2
10/03/2018;2 EST;305;123;Essandja;Rinorea;cf welwitschii;2,5;1,2;2
10/03/2018;2 EST;305;124;Essandja;Rinorea;cf welwitschii;2,5;1,5;2
10/03/2018;2 EST;305;125;Scottellia;Scottellia;klaineana;2,5;1,2;2
10/03/2018;2 EST;305;126;Essandja;Rinorea;cf welwitschii;3,5;2,3;2
10/03/2018;2 EST;305;127;Mokula;Microdesmis;puberula;4,5;2,4;2
10/03/2018;2 EST;305;128;Mokula;Microdesmis;puberula;4,5;2,6;2
10/03/2018;2 EST;305;129;Essandja;Rinorea;cf welwitschii;3,6;3,2;2
10/03/2018;2 EST;305;130;Ebene;Diospyros;bipindensis;2;1,2;2
10/03/2018;2 EST;305;131;Essandja;Rinorea;cf welwitschii;2,5;1,2;2
10/03/2018;2 EST;305;132;Essandja;Rinorea;cf welwitschii;2,8;1,6;2
10/03/2018;2 EST;305;133;Mossebe;Hunteria;ballayi;3;1,2;2
10/03/2018;2 EST;305;134;Ebene;Diospyros;bipindensis;2;1,1;2
10/03/2018;2 EST;305;135;;Aidia;sp;3;1,4;2
10/03/2018;2 EST;305;136;Essandja;Rinorea;cf welwitschii;4,5;2,7;2
10/03/2018;2 EST;305;137;Essandja;Rinorea;cf welwitschii;3,7;2,7;2
10/03/2018;2 EST;305;138;Ebene;Diospyros;bipindensis;2,5;1;2
10/03/2018;2 EST;305;139;Ebene;Diospyros;bipindensis;6,5;6,8;2
