N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;17,5;4,4;131;0;0;14;3;0;0;09/03/2018;2 Ouest;177;1;26,5;SO
2;18;10;52,4;0;0;11;2;1;0;09/03/2018;2 Ouest;177;1;26,5;SO
3;23;1;45;0;0;37;4;0;0;09/03/2018;2 Ouest;177;1;26,5;SO
4;36,1;5,8;99;0;0;12;5;1;0;09/03/2018;2 Ouest;177;1;26,5;SO
1;9,6;5,4;155;0;0;1,6;5;0;0;09/03/2018;2 Ouest;177;2;296,5;SE
2;14,6;1;33;0;0;3,9;3;0;0;09/03/2018;2 Ouest;177;2;296,5;SE
3;47,5;0,5;0;51;44;0,62;5;0;0;09/03/2018;2 Ouest;177;2;296,5;SE
4;77,3;4;37,5;0;0;9;3;1;0;09/03/2018;2 Ouest;177;2;296,5;SE
5;90,3;7;500;0;0;29;2;1;0;09/03/2018;2 Ouest;177;2;296,5;SE
1;20;5;74;0;0;10;4;1;0;09/03/2018;2 Ouest;177;3;206,5;NE
2;25;0,7;67,4;0;0;4;3;1;0;09/03/2018;2 Ouest;177;3;206,5;NE
3;39;5,1;117;0;0;2,5;5;0;0;09/03/2018;2 Ouest;177;3;206,5;NE
4;49,5;5;28;0;0;8;5;1;0;09/03/2018;2 Ouest;177;3;206,5;NE
5;56,5;10;65;0;0;2,2;5;0;0;09/03/2018;2 Ouest;177;3;206,5;NE
6;70;2;67;0;0;6,5;4;1;0;09/03/2018;2 Ouest;177;3;206,5;NE
7;70;9;102;0;0;8,3;5;1;0;09/03/2018;2 Ouest;177;3;206,5;NE
1;60;4,4;33,5;0;0;4,5;3;1;0;09/03/2018;2 Ouest;177;4;116,5;NO
2;60;10;274;0;0;15;3;1;0;09/03/2018;2 Ouest;177;4;116,5;NO
3;65;8,5;137;0;0;16;4;1;0;09/03/2018;2 Ouest;177;4;116,5;NO
