N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;83,5;5,8;283;0;0;6;3;0;0;04/04/2018;2 Ouest;197;1;26,5;SO
2;86;3,9;75,7;0;0;1,6;4;0;0;04/04/2018;2 Ouest;197;1;26,5;SO
3;95;7;0;160;116;0,9;4;0;0;04/04/2018;2 Ouest;197;1;26,5;SO
1;35;7,5;135;0;0;22;5;0;0;04/04/2018;2 Ouest;197;2;296,5;SE
2;81;3;0;90,5;46;1,1;5;0;0;04/04/2018;2 Ouest;197;2;296,5;SE
3;85;5;44;0;0;6,7;4;0;0;04/04/2018;2 Ouest;197;2;296,5;SE
1;25;6,5;54;0;0;3,9;4;0;0;04/04/2018;2 Ouest;197;3;206,5;NE
2;37;2,5;50;0;0;6,4;4;0;0;04/04/2018;2 Ouest;197;3;206,5;NE
3;43,5;4;35;0;0;2,33;4;0;0;04/04/2018;2 Ouest;197;3;206,5;NE
4;43,5;0,5;0;124;111,5;1,05;4;0;0;04/04/2018;2 Ouest;197;3;206,5;NE
5;74;3;240;0;0;22,5;4;1;0;04/04/2018;2 Ouest;197;3;206,5;NE
1;59;3,5;116;0;0;12;4;0;0;04/04/2018;2 Ouest;197;4;116,5;NO
2;79;0;48,5;0;0;10;1;1;0;04/04/2018;2 Ouest;197;4;116,5;NO
3;80;0;34;0;0;9;1;1;0;04/04/2018;2 Ouest;197;4;116,5;NO
4;97;6;0;110;73;0,64;4;0;0;04/04/2018;2 Ouest;197;4;116,5;NO
