N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;37;0;21,6;20,4;6;2;240;0;0;23/03/2018;1 Est;125;1;26,5;SO
2;37;0;11,8;11,3;4,5;2;0;0;0;23/03/2018;1 Est;125;1;26,5;SO
3;55;0;20,4;20;4,7;2;280;1;0;23/03/2018;1 Est;125;1;26,5;SO
4;59,2;0;17,6;19,4;8;5;150;1;0;23/03/2018;1 Est;125;1;26,5;SO
5;70;0;0;35;6,9;4;300;1;0;23/03/2018;1 Est;125;1;26,5;SO
6;96;0;50,7;49;9;4;280;1;0;23/03/2018;1 Est;125;1;26,5;SO
7;98;0;37,3;34,8;5,8;4;150;1;0;23/03/2018;1 Est;125;1;26,5;SO
1;7,5;0;0;24,3;3,8;5;0;1;0;23/03/2018;1 Est;125;2;296,5;SE
2;29;0;0;15;2,9;5;60;0;0;23/03/2018;1 Est;125;2;296,5;SE
3;66;0;35,5;36,8;12,4;3;180;1;0;23/03/2018;1 Est;125;2;296,5;SE
4;74;0;0;20,5;2,1;5;120;0;0;23/03/2018;1 Est;125;2;296,5;SE
1;21;0;0;20,9;8,5;4;270;0;0;23/03/2018;1 Est;125;3;206,5;NE
2;31;0;16,8;13,9;5;4;120;1;0;23/03/2018;1 Est;125;3;206,5;NE
3;47;0;0;12,6;3,7;5;270;0;0;23/03/2018;1 Est;125;3;206,5;NE
1;8;0;18,7;19,8;2;2;40;0;0;23/03/2018;1 Est;125;4;116,5;NO
2;20;0;25,6;16,7;6,2;3;180;0;0;23/03/2018;1 Est;125;4;116,5;NO
3;27;0;13,3;14;0,22;2;180;0;0;23/03/2018;1 Est;125;4;116,5;NO
4;30;0;0;18,6;1,2;3;90;0;0;23/03/2018;1 Est;125;4;116,5;NO
5;35;0;0;18,8;0,9;5;250;0;0;23/03/2018;1 Est;125;4;116,5;NO
6;70;0;23;16,8;5;5;300;0;0;23/03/2018;1 Est;125;4;116,5;NO
7;90;0;17,8;20;7;4;330;0;0;23/03/2018;1 Est;125;4;116,5;NO
8;107;0;16;14,6;7,9;4;270;0;0;23/03/2018;1 Est;125;4;116,5;NO
