N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;15;37;0;0;2,8;2;90;0;0;02/03/2018;1 Ouest;114;1;26,5;SO
2;95;130;0;0;15;4;135;1;1;02/03/2018;1 Ouest;114;1;26,5;SO
3;92;47;0;0;21;3;45;1;0;02/03/2018;1 Ouest;114;1;26,5;SO
1;16;40;12;13;1,75;2;90;0;0;02/03/2018;1 Ouest;114;2;296,5;SE
2;31,8;0;12;12;7,3;4;0;1;0;02/03/2018;1 Ouest;114;2;296,5;SE
3;56,8;30;13;11;2,25;4;90;0;0;02/03/2018;1 Ouest;114;2;296,5;SE
4;103,4;31;9;10;9,37;2;90;0;0;02/03/2018;1 Ouest;114;2;296,5;SE
1;87;0;7;26;2,9;5;0;1;0;02/03/2018;1 Ouest;114;3;206,5;NE
2;90,5;0;9;11;3;3;130;0;0;02/03/2018;1 Ouest;114;3;206,5;NE
1;9;32;0;0;2,28;2;300;0;0;02/03/2018;1 Ouest;114;4;116,5;SO
2;10;32;0;0;24,6;2;300;1;0;02/03/2018;1 Ouest;114;4;116,5;SO
3;14;0;30;30;33;4;90;1;0;02/03/2018;1 Ouest;114;4;116,5;SO
4;20;0;0;46;7,2;5;210;1;0;02/03/2018;1 Ouest;114;4;116,5;SO
5;88,3;0;0;37;13;5;190;1;0;02/03/2018;1 Ouest;114;4;116,5;SO
6;48;0;11;14;3;3;60;0;0;02/03/2018;1 Ouest;114;4;116,5;SO
