N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;16;0;33;31;3,4;3;170;0;0;11/03/2018;2 Est;324;1;26,5;SO
2;46;0;0;10;1,6;5;120;0;0;11/03/2018;2 Est;324;1;26,5;SO
3;52;0;28;21;19;5;120;1;0;11/03/2018;2 Est;324;1;26,5;SO
4;80;0;18;17;6;2;280;0;0;11/03/2018;2 Est;324;1;26,5;SO
1;30;0;0;17;10,7;5;60;1;0;11/03/2018;2 Est;324;2;296,5;SE
2;53;0;0;12;12;5;60;1;0;11/03/2018;2 Est;324;2;296,5;SE
3;94;0;39;38;30;2;0;1;0;11/03/2018;2 Est;324;2;296,5;SE
4;105;0;62;51;8,3;2;0;0;0;11/03/2018;2 Est;324;2;296,5;SE
1;7;0;18;18;9,9;4;140;1;0;11/03/2018;2 Est;324;3;206,5;NE
2;30;0;10;10;0,78;2;60;0;0;11/03/2018;2 Est;324;3;206,5;NE
3;30,5;0;10;10;0,74;2;330;0;0;11/03/2018;2 Est;324;3;206,5;NE
4;40;0;0;11;1,4;5;90;0;0;11/03/2018;2 Est;324;3;206,5;NE
5;65;0;25;22;19,3;5;320;1;0;11/03/2018;2 Est;324;3;206,5;NE
6;75;0;10;11;3,1;1;250;0;0;11/03/2018;2 Est;324;3;206,5;NE
1;18;0;12;10;8,9;3;340;1;0;11/03/2018;2 Est;324;4;116,5;NO
2;39;0;0;18;4,5;2;190;0;0;11/03/2018;2 Est;324;4;116,5;NO
3;102;0;0;21;1;5;300;0;0;11/03/2018;2 Est;324;4;116,5;NO
