N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;58,5;7,8;54;0;0;2;3;0;0;24/04/2018;2 Ouest;218;1;26,5;SO
2;102;0,4;50;0;0;2,4;4;0;0;24/04/2018;2 Ouest;218;1;26,5;SO
3;110;9,9;348,7;0;0;28,5;3;0;0;24/04/2018;2 Ouest;218;1;26,5;SO
1;103;8,5;146;0;0;6;5;0;0;24/04/2018;2 Ouest;218;2;296,5;SE
2;104,5;7,4;0;64;40;0,54;4;0;0;24/04/2018;2 Ouest;218;2;296,5;SE
3;110;5,5;130;0;0;11;5;1;0;24/04/2018;2 Ouest;218;2;296,5;SE
1;34;0,7;120;0;0;13,5;4;1;0;24/04/2018;2 Ouest;218;3;206,5;NE
2;55;0,4;0;64;58;0,4;5;0;0;24/04/2018;2 Ouest;218;3;206,5;NE
3;99,5;2,8;0;72;55;0,9;4;0;0;24/04/2018;2 Ouest;218;3;206,5;NE
1;15;8,6;80,7;0;0;7,5;4;0;0;24/04/2018;2 Ouest;218;4;116,5;NO
