N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;39;6,8;0;53;31;1,1;5;0;0;11/04/2018;1 Ouest;133;1;26,5;SO
2;56;0,5;75;0;0;15;4;0;0;11/04/2018;1 Ouest;133;1;26,5;SO
3;76;8,5;42,7;0;0;11;4;0;0;11/04/2018;1 Ouest;133;1;26,5;SO
4;77;2;0;45;34;1,04;5;0;0;11/04/2018;1 Ouest;133;1;26,5;SO
5;94;1;198,5;0;0;1,7;4;0;0;11/04/2018;1 Ouest;133;1;26,5;SO
1;0,5;5,9;164;0;0;5,7;4;0;0;11/04/2018;1 Ouest;133;2;296,5;SE
2;22;0,5;137;0;0;16,5;3;1;0;11/04/2018;1 Ouest;133;2;296,5;SE
3;85;5;65;0;0;2,7;5;0;0;11/04/2018;1 Ouest;133;2;296,5;SE
1;38;3;0;119;78;5;0;0;0;11/04/2018;1 Ouest;133;3;206,5;NE
2;91;0;72;0;0;11,5;4;0;0;11/04/2018;1 Ouest;133;3;206,5;NE
1;36;3,3;75;0;0;9,5;3;0;0;11/04/2018;1 Ouest;133;4;116,5;NO
2;47;0,5;58;0;0;2,25;5;0;0;11/04/2018;1 Ouest;133;4;116,5;NO
3;78;4,5;54;0;0;1,4;5;0;0;11/04/2018;1 Ouest;133;4;116,5;NO
