N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;7;0,5;113;0;0;14;2;1;0;10/04/2018;1 Ouest;94;1;26,5;SO
2;12;1,5;0;77;47;0,5;5;0;0;10/04/2018;1 Ouest;94;1;26,5;SO
3;89;7;414,7;0;0;4,9;4;0;0;10/04/2018;1 Ouest;94;1;26,5;SO
4;111;8;0;65;39;0,53;5;0;0;10/04/2018;1 Ouest;94;1;26,5;SO
1;40;6;40,5;0;0;1,4;5;0;0;10/04/2018;1 Ouest;94;2;296,5;SE
2;49;9;73;0;0;3,2;5;0;0;10/04/2018;1 Ouest;94;2;296,5;SE
3;109;6,5;123;0;0;3,5;4;0;0;10/04/2018;1 Ouest;94;2;296,5;SE
1;0;3;289;0;0;20;4;0;0;10/04/2018;1 Ouest;94;3;206,5;NE
1;7,8;0,8;42,5;0;0;7;3;0;0;10/04/2018;1 Ouest;94;4;116,5;NO
2;69;3;46;0;0;17;1;0;0;10/04/2018;1 Ouest;94;4;116,5;NO
3;73;6;75;0;0;6,3;4;0;0;10/04/2018;1 Ouest;94;4;116,5;NO
4;77;9;94;0;0;15;3;1;0;10/04/2018;1 Ouest;94;4;116,5;NO
