DATE;PARCELLE;CARRE;NUMERO;NOM VERNACULAIRE;GENRE;ESPECE;HAUTEUR;DBH;PLACEAU
04/05/2018;2 OUEST;218;1;Ingoka;Thomondersia;hensii;5;7;1
04/05/2018;2 OUEST;218;2;Owong;Dialium;pachyphyllum;2,8;1,2;1
04/05/2018;2 OUEST;218;3a;Ingoka;Thomondersia;hensii;4,8;5;1
04/05/2018;2 OUEST;218;3b;Ingoka;Thomondersia;hensii;4;3,6;1
04/05/2018;2 OUEST;218;3c;Ingoka;Thomondersia;hensii;4,5;3,5;1
04/05/2018;2 OUEST;218;4;Motunga;Polyalthia;suaveolens;4;2,5;1
04/05/2018;2 OUEST;218;5;Moungamba;Dichostemma;glaucescens;2,7;1,2;1
04/05/2018;2 OUEST;218;6;Owong;Dialium;pachyphyllum;3,5;2,4;1
04/05/2018;2 OUEST;218;7;Mossebe;Hunteria;ballayi;2;1,7;1
04/05/2018;2 OUEST;218;8;Moungamba;Dichostemma;glaucescens;3;1,7;1
04/05/2018;2 OUEST;218;9;Moungamba;Dichostemma;glaucescens;4;2,1;1
04/05/2018;2 OUEST;218;10;Drypetes;Drypetes;occidentalis;2,7;1;1
04/05/2018;2 OUEST;218;11;Mossebe;Hunteria;ballayi;2,2;1,3;1
04/05/2018;2 OUEST;218;12;;Heisteria;pavifolia;2,8;1,3;1
04/05/2018;2 OUEST;218;13;Etua;Tabernaemonthana;penduliflora;3,2;1,8;1
04/05/2018;2 OUEST;218;14;Mossebe;Hunteria;ballayi;1,8;1,1;1
04/05/2018;2 OUEST;218;15;Moungamba;Dichostemma;glaucescens;4;3,3;1
04/05/2018;2 OUEST;218;16;Motunga;Polyalthia;suaveolens;3;1,8;1
04/05/2018;2 OUEST;218;17;Mossebe;Hunteria;ballayi;1,9;1,1;1
04/05/2018;2 OUEST;218;18;Ebene;Diospyros;iturensis;3;1,6;1
04/05/2018;2 OUEST;218;19;Ebene;Diospyros;iturensis;3,8;3;1
04/05/2018;2 OUEST;218;20;Bekoa bizombo;Angylocalyx;pynaertii;3,3;2,5;1
04/05/2018;2 OUEST;218;21;Moungamba;Dichostemma;glaucescens;4;2,1;1
04/05/2018;2 OUEST;218;22;Crabwood;Carapa;procera;6;7,7;1
04/05/2018;2 OUEST;218;23;Mokula;Microdesmis;puberula;3,3;2,2;1
04/05/2018;2 OUEST;218;24;Mosseke;Cleistanthus;caudatus;2,8;2,8;1
04/05/2018;2 OUEST;218;25;Ebene;Diospyros;bipindensis;3,6;2,7;1
04/05/2018;2 OUEST;218;26;Moungamba;Dichostemma;glaucescens;3;1,6;1
04/05/2018;2 OUEST;218;27;Ebene;Diospyros;iturensis;3,4;3;1
04/05/2018;2 OUEST;218;28;Ebene;Diospyros;bipindensis;3,4;1,4;1
04/05/2018;2 OUEST;218;29;Mossebe;Hunteria;ballayi;2,5;1,7;1
04/05/2018;2 OUEST;218;30;Ebene;Diospyros;iturensis;3,9;2,2;1
04/05/2018;2 OUEST;218;31;Drypetes;Drypetes;capillipes;4,8;3,8;1
04/05/2018;2 OUEST;218;32;Ebene;Diospyros;iturensis;2,3;1,7;1
04/05/2018;2 OUEST;218;33;Pancovia;Pancovia;harmsiana;2,6;1,3;1
04/05/2018;2 OUEST;218;34;Motunga;Polyalthia;suaveolens;5;3,7;1
04/05/2018;2 OUEST;218;35a;;Rothmannia;longifolia;3,5;2,4;1
04/05/2018;2 OUEST;218;35b;;Rothmannia;longifolia;3,2;1,4;1
04/05/2018;2 OUEST;218;36;Baku;Ritchiea;aprevaliana;3;2,1;1
04/05/2018;2 OUEST;218;37;Ebene;Diospyros;bipindensis;7;8,8;1
04/05/2018;2 OUEST;218;38;Moungamba;Dichostemma;glaucescens;2,8;1,1;1
04/05/2018;2 OUEST;218;39;Essandja;Rinorea;cf welwitschii;5;4;1
04/05/2018;2 OUEST;218;40;Mossebe;Hunteria;ballayi;2,9;2;1
04/05/2018;2 OUEST;218;41;Etua;Tabernaemonthana;penduliflora;3;2;1
04/05/2018;2 OUEST;218;42;Essandja;Rinorea;cf welwitschii;2,8;2;1
04/05/2018;2 OUEST;218;43;Ebene noir;Diospyros;crassiflora;4,8;3,6;1
04/05/2018;2 OUEST;218;44;;Trycalysia;sp1;2,5;1,2;1
04/05/2018;2 OUEST;218;45;Essandja mbongo;Rinorea;oblongifolia;7;9,1;1
04/05/2018;2 OUEST;218;46;Drypetes;Drypetes;cinnabarina;6;3,9;1
04/05/2018;2 OUEST;218;47;Motunga;Polyalthia;suaveolens;8,5;8,9;1
04/05/2018;2 OUEST;218;48;Drypetes;Drypetes;capillipes;4,9;3,1;1
04/05/2018;2 OUEST;218;49;Drypetes;Drypetes;bipindensis;2,8;1;1
04/05/2018;2 OUEST;218;50;Mossebe;Hunteria;ballayi;2,5;1,6;1
04/05/2018;2 OUEST;218;51;Pancovia;Pancovia;laurentii;2,5;1,3;1
04/05/2018;2 OUEST;218;52;Etua;Tabernaemonthana;penduliflora;5;4,7;1
04/05/2018;2 OUEST;218;53;Drypetes;Drypetes;capillipes;4,4;3,2;1
04/05/2018;2 OUEST;218;54;Drypetes;Drypetes;bipindensis;5,8;3,2;1
04/05/2018;2 OUEST;218;55;Baku;Ritchiea;aprevaliana;2,5;1;1
04/05/2018;2 OUEST;218;56;Korou;Desplatsia;subericarpa;2,2;1,1;1
04/05/2018;2 OUEST;218;57;Vepris;Vepris;glaberrima;6,7;3,6;1
04/05/2018;2 OUEST;218;58;Ebene;Diospyros;iturensis;5,7;2,4;1
04/05/2018;2 OUEST;218;59;Owong;Dialium;pachyphyllum;3,5;2,9;1
04/05/2018;2 OUEST;218;60;Baku;Ritchiea;aprevaliana;3;1,7;1
04/05/2018;2 OUEST;218;61;Mossebe;Hunteria;ballayi;2,6;1,9;1
04/05/2018;2 OUEST;218;62;Drypetes;Drypetes;occidentalis;2,5;1,5;1
04/05/2018;2 OUEST;218;63;Ebene;Diospyros;bipindensis;4,5;2,7;1
04/05/2018;2 OUEST;218;64;Essandja;Rinorea;cf welwitschii;2,3;1,5;1
04/05/2018;2 OUEST;218;65;Kumbi;Lannea;welwitschii;5,7;1,9;1
04/05/2018;2 OUEST;218;66;Ebene ;Diospyros;bipindensis;2,6;1,3;1
04/05/2018;2 OUEST;218;67;Essandja;Rinorea;cf welwitschii;4,2;3,7;1
04/05/2018;2 OUEST;218;68;Drypetes;Drypetes;diopa;5,5;7,1;1
04/05/2018;2 OUEST;218;69;Etua;Tabernaemonthana;penduliflora;5,4;3,8;1
04/05/2018;2 OUEST;218;70;Ebene;Diospyros;bipindensis;3,3;2,6;1
04/05/2018;2 OUEST;218;71;Vepris;Vepris;glaberrima;2,5;1;1
04/05/2018;2 OUEST;218;72;Baku;Ritchiea;aprevaliana;2,5;1,2;1
04/05/2018;2 OUEST;218;73;Essandja;Rinorea;cf welwitschii;5;4,4;1
04/05/2018;2 OUEST;218;74a;Essandja;Rinorea;cf welwitschii;2,5;1,3;1
04/05/2018;2 OUEST;218;74b;Essandja;Rinorea;cf welwitschii;2,6;1,3;1
04/05/2018;2 OUEST;218;75;Drypetes;Drypetes;laciniata;3;1,4;1
04/05/2018;2 OUEST;218;76;Moungamba;Dichostemma;glaucescens;2,8;1,3;1
04/05/2018;2 OUEST;218;77;Pancovia;Pancovia;harmsiana;2,7;1,3;1
04/05/2018;2 OUEST;218;78;Drypetes;Drypetes;cinnabarina;1,9;2,6;1
04/05/2018;2 OUEST;218;79;Dialium;Dialium;zenkeri;3;1,2;1
04/05/2018;2 OUEST;218;80;Mosseke;Cleistanthus;caudatus;5;3,4;1
04/05/2018;2 OUEST;218;81;Garcinia;Garcinia;punctata;6,5;9,5;1
04/05/2018;2 OUEST;218;82;Etua;Tabernaemonthana;penduliflora;4,5;3,4;1
04/05/2018;2 OUEST;218;83;Mossebe;Hunteria;ballayi;2,4;2;1
04/05/2018;2 OUEST;218;84a;Mossebe;Hunteria;ballayi;1,7;1,9;1
04/05/2018;2 OUEST;218;84b;Mossebe;Hunteria;ballayi;2,5;1,8;1
04/05/2018;2 OUEST;218;85;Dibetou;Lovoa;trichilioide;8,5;7,6;1
04/05/2018;2 OUEST;218;86;Mossebe;Hunteria;ballayi;2,5;1;1
04/05/2018;2 OUEST;218;87;Moungamba;Dichostemma;glaucescens;7;7,5;1
04/05/2018;2 OUEST;218;88;Ebene;Diospyros;iturensis;5,7;4,3;1
04/05/2018;2 OUEST;218;89;Ebene;Diospyros;bipindensis;2,5;1;1
04/05/2018;2 OUEST;218;90;Drypetes;Drypetes;cinnabarina;2,3;1,3;1
04/05/2018;2 OUEST;218;91;Padouk;Pterocarpus;soyauxii;5,5;5,3;1
04/05/2018;2 OUEST;218;92;Ebene;Diospyros;iturensis;2,7;1,5;1
04/05/2018;2 OUEST;218;93a;Ebene;Diospyros;bipindensis;4;2,7;1
04/05/2018;2 OUEST;218;93b;Ebene;Diospyros;bipindensis;3;2,2;1
04/05/2018;2 OUEST;218;94;Ebene;Diospyros;bipindensis;4,3;5,3;1
04/05/2018;2 OUEST;218;95a;Baku;Ritchiea;aprevaliana;2;1,4;1
04/05/2018;2 OUEST;218;95b;Baku;Ritchiea;aprevaliana;2;1,4;1
04/05/2018;2 OUEST;218;96;Ebene;Diospyros;bipindensis;4,2;3,2;1
04/05/2018;2 OUEST;218;97;Moungamba;Dichostemma;glaucescens;3,6;2,3;1
04/05/2018;2 OUEST;218;98;Ebene;Diospyros;iturensis;3,7;1,8;1
04/05/2018;2 OUEST;218;99;Owong;Dialium;pachyphyllum;2,5;1,4;1
04/05/2018;2 OUEST;218;100;Drypetes;Drypetes;capillipes;3,8;2,6;1
04/05/2018;2 OUEST;218;101;Drypetes;Drypetes;capillipes;2,5;2,3;1
04/05/2018;2 OUEST;218;102;Drypetes;Drypetes;cinnabarina;7,8;6,1;1
04/05/2018;2 OUEST;218;103;Mossebe;Hunteria;ballayi;1,9;1,2;1
04/05/2018;2 OUEST;218;104;Ebene;Diospyros;bipindensis;6,5;4,8;1
04/05/2018;2 OUEST;218;105;Ebene;Diospyros;bipindensis;4,2;2,4;1
04/05/2018;2 OUEST;218;106;;Heisteria;pavifolia;2,7;1,6;1
04/05/2018;2 OUEST;218;107;Drypetes;Drypetes;capillipes;3;1,9;1
04/05/2018;2 OUEST;218;108;;Rinorea;subsessilis;3,4;3,6;1
04/05/2018;2 OUEST;218;109;Drypetes;Drypetes;cinnabarina;6,5;4,9;1
04/05/2018;2 OUEST;218;110;Drypetes;Drypetes;capillipes;2,6;1,2;1
04/05/2018;2 OUEST;218;111;Crabwood;Carapa;procera;6;8;1
04/05/2018;2 OUEST;218;112;Ingoka;Thomondersia;hensii;5,4;5,2;1
04/05/2018;2 OUEST;218;113;Ingoka;Thomondersia;hensii;4;3,9;1
04/05/2018;2 OUEST;218;114;Drypetes;Drypetes;capillipes;3;2,6;1
04/05/2018;2 OUEST;218;115;Ingoka;Thomondersia;hensii;4;3;1
04/05/2018;2 OUEST;218;116;Ebene;Diospyros;bipindensis;3,6;1,7;1
04/05/2018;2 OUEST;218;117;Drypetes;Drypetes;capillipes;3,7;2,7;1
04/05/2018;2 OUEST;218;118a;Ingoka;Thomondersia;hensii;5,5;5,4;1
04/05/2018;2 OUEST;218;118b;Ingoka;Thomondersia;hensii;3;1,6;1
04/05/2018;2 OUEST;218;119;Ebene;Diospyros;bipindensis;2,8;1,8;1
04/05/2018;2 OUEST;218;120;Drypetes;Drypetes;capillipes;2,7;1,8;1
04/05/2018;2 OUEST;218;121;Ebene;Diospyros;bipindensis;3;1,3;1
04/05/2018;2 OUEST;218;122;Ingoka;Thomondersia;hensii;6,5;6,3;1
04/05/2018;2 OUEST;218;123;Synsepalum;Synsepalum;subcordatum;3,3;2,5;1
04/05/2018;2 OUEST;218;124;Ingoka;Thomondersia;hensii;3,4;4;1
04/05/2018;2 OUEST;218;125;Etua;Tabernaemonthana;penduliflora;5;7,4;1
04/05/2018;2 OUEST;218;126;Lati;Amphimas;pterocarpoides;3,5;3,1;1
04/05/2018;2 OUEST;218;127;Moungamba;Dichostemma;glaucescens;6,3;4,9;1
04/05/2018;2 OUEST;218;128;Moungamba;Dichostemma;glaucescens;2,5;1;1
04/05/2018;2 OUEST;218;129a;Ingoka;Thomondersia;hensii;4;4,2;1
04/05/2018;2 OUEST;218;129b;Ingoka;Thomondersia;hensii;3,9;2,8;1
04/05/2018;2 OUEST;218;129c;Ingoka;Thomondersia;hensii;3,5;1,9;1
04/05/2018;2 OUEST;218;129d;Ingoka;Thomondersia;hensii;2,7;1,1;1
04/05/2018;2 OUEST;218;130a;Pancovia;Pancovia;harmsiana;2,5;2,8;1
04/05/2018;2 OUEST;218;130b;Pancovia;Pancovia;harmsiana;2,4;2,1;1
04/05/2018;2 OUEST;218;131;Essandja mbongo;Rinorea;oblongifolia;2,6;1,5;1
04/05/2018;2 OUEST;218;132;Mossebe;Hunteria;ballayi;2;1,1;1
04/05/2018;2 OUEST;218;133;Mossebe;Hunteria;ballayi;2,9;2,4;1
04/05/2018;2 OUEST;218;134;Ingoka;Thomondersia;hensii;4;3,1;1
04/05/2018;2 OUEST;218;135;Cafe;Tricalysia;pallens;5;7,3;1
04/05/2018;2 OUEST;218;136;Moungamba;Dichostemma;glaucescens;2,5;1,1;1
04/05/2018;2 OUEST;218;137;Ingoka;Thomondersia;hensii;4,3;4,2;1
04/05/2018;2 OUEST;218;138;Ebene;Diospyros;bipindensis;4,7;5,1;1
04/05/2018;2 OUEST;218;139;Moungamba;Dichostemma;glaucescens;2,5;1;1
04/05/2018;2 OUEST;218;140;Mosseke;Cleistanthus;caudatus;2,9;1,4;1
04/05/2018;2 OUEST;218;141a;Etua;Tabernaemonthana;penduliflora;4,9;5,1;1
04/05/2018;2 OUEST;218;141b;Etua;Tabernaemonthana;penduliflora;3,2;2,2;1
04/05/2018;2 OUEST;218;142a;Ingoka;Thomondersia;hensii;4,7;4,3;1
04/05/2018;2 OUEST;218;142b;Ingoka;Thomondersia;hensii;3,5;2;1
04/05/2018;2 OUEST;218;143;Mossebe;Hunteria;ballayi;2,4;1,2;1
04/05/2018;2 OUEST;218;144;Ebene;Diospyros;iturensis;3,1;1,2;1
04/05/2018;2 OUEST;218;145;Moungamba;Dichostemma;glaucescens;3,5;2,1;1
05/05/2018;2 OUEST;218;146;;Uvariastrum;pierreanum;4;4,1;1
05/05/2018;2 OUEST;218;147;Ebene;Diospyros;iturensis;2,5;1;1
05/05/2018;2 OUEST;218;148;Pancovia;Pancovia;harmsiana;3,4;2,1;1
05/05/2018;2 OUEST;218;149;Kotibe;Nesogordonia;kabingaensis;2,5;1,3;1
05/05/2018;2 OUEST;218;150;Ingoka;Thomondersia;hensii;5,5;6;1
05/05/2018;2 OUEST;218;151;Ebene;Diospyros;bipindensis;6,5;7,8;1
05/05/2018;2 OUEST;218;152;Ingoka;Thomondersia;hensii;5;6,3;1
05/05/2018;2 OUEST;218;153;Motunga;Polyalthia;suaveolens;2,7;1,3;1
05/05/2018;2 OUEST;218;154;;Isolana;pilosa;3,9;1,8;1
05/05/2018;2 OUEST;218;155;Mossebe;Hunteria;ballayi;2;1;1
05/05/2018;2 OUEST;218;156;Mossebe;Hunteria;ballayi;2;1,1;1
05/05/2018;2 OUEST;218;157;Ebene;Diospyros;iturensis;6,4;6,3;1
05/05/2018;2 OUEST;218;158;Moungamba;Dichostemma;glaucescens;4;3,7;1
05/05/2018;2 OUEST;218;159a;Ingoka;Thomondersia;hensii;4;2,9;1
05/05/2018;2 OUEST;218;159b;Ingoka;Thomondersia;hensii;3,7;1,7;1
05/05/2018;2 OUEST;218;160;Ebene;Diospyros;iturensis;3,4;1,6;1
05/05/2018;2 OUEST;218;161;Pancovia;Pancovia;laurentii;2,4;1,1;1
05/05/2018;2 OUEST;218;162;Mokula;Microdesmis;puberula;2,7;1,3;1
05/05/2018;2 OUEST;218;163;Etua;Tabernaemonthana;penduliflora;4,7;5,5;1
05/05/2018;2 OUEST;218;164;Mossebe;Hunteria;ballayi;2;1,1;1
05/05/2018;2 OUEST;218;165;Bekoa bizombo;Angylocalyx;pynaertii;2,4;1,3;1
05/05/2018;2 OUEST;218;166;Owom;Manilkara;mabokeensis;3,4;4,1;1
05/05/2018;2 OUEST;218;167;Mossebe;Hunteria;ballayi;1,9;1,1;1
05/05/2018;2 OUEST;218;168;Trichilia;Trichilia;rubescens;5,2;5;1
05/05/2018;2 OUEST;218;169;Chytranthus;Chytranthus;mortehanii;2,5;1;1
05/05/2018;2 OUEST;218;170;;Rothmannia;macrocarpa;4;2,8;1
05/05/2018;2 OUEST;218;171;Ebene;Diospyros;bipindensis;4;4,5;1
05/05/2018;2 OUEST;218;172;Ebene;Diospyros;bipindensis;3,7;2,8;1
05/05/2018;2 OUEST;218;173;Pancovia;Pancovia;laurentii;2,9;1,4;1
05/05/2018;2 OUEST;218;174;Mossebe;Hunteria;ballayi;2,4;1,5;1
05/05/2018;2 OUEST;218;175;Moungamba;Dichostemma;glaucescens;4;3,2;1
05/05/2018;2 OUEST;218;176;Etua;Tabernaemonthana;penduliflora;2,3;1,3;1
05/05/2018;2 OUEST;218;177;Millettia;Millettia;sanagana;3,7;2,6;1
05/05/2018;2 OUEST;218;178;Ebene;Diospyros;bipindensis;2,6;1,6;1
05/05/2018;2 OUEST;218;179;Owom;Manilkara;mabokeensis;3,6;4,4;1
05/05/2018;2 OUEST;218;180a;Ingoka;Thomondersia;hensii;5;3,7;1
05/05/2018;2 OUEST;218;180b;Ingoka;Thomondersia;hensii;4,4;2,9;1
05/05/2018;2 OUEST;218;181;Drypetes;Drypetes;cinnabarina;3,4;2,1;1
