N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;6;2;124;0;0;7;3;0;0;04/03/2018;1 Ouest;113;1;26,5;SO
2;13;7;70;0;0;1,5;5;0;0;04/03/2018;1 Ouest;113;1;26,5;SO
3;15;3;60;0;0;1,45;5;0;0;04/03/2018;1 Ouest;113;1;26,5;SO
1;28,8;1;80;0;0;9;4;0;0;04/03/2018;1 Ouest;113;2;296,5;SE
2;40;2;52;0;0;4;5;0;0;04/03/2018;1 Ouest;113;2;296,5;SE
3;43;3;57;0;0;1,8;5;0;0;04/03/2018;1 Ouest;113;2;296,5;SE
4;68;9,5;240;0;0;30;3;1;0;04/03/2018;1 Ouest;113;2;296,5;SE
1;17;2;0;40;33;1,3;4;0;0;04/03/2018;1 Ouest;113;3;206,5;NE
2;36;0,5;0;40;11;1,3;5;0;0;04/03/2018;1 Ouest;113;3;206,5;NE
1;10;0;36;0;0;6,9;3;0;0;04/03/2018;1 Ouest;113;4;116,5;NO
2;25;1;90;0;0;15;3;0;0;04/03/2018;1 Ouest;113;4;116,5;NO
3;37;5;33;0;0;1,5;4;0;0;04/03/2018;1 Ouest;113;4;116,5;NO
