N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;24,6;0;0;16;2,1;5;90;0;0;06/03/2018;2 Ouest;198;1;26,5;SO
2;27,4;0;23;23;9;4;100;0;0;06/03/2018;2 Ouest;198;1;26,5;SO
3;51;0;27;31;10,5;4;280;0;1;06/03/2018;2 Ouest;198;1;26,5;SO
4;72,9;0;35;37;7,4;3;20;1;0;06/03/2018;2 Ouest;198;1;26,5;SO
5;86,9;0;21;15;1,5;3;240;1;0;06/03/2018;2 Ouest;198;1;26,5;SO
6;97,4;0;0;10;2,4;4;50;0;0;06/03/2018;2 Ouest;198;1;26,5;SO
7;109,4;0;20;24;6,73;4;120;1;0;06/03/2018;2 Ouest;198;1;26,5;SO
1;11,3;0;44;49;21;4;90;1;0;06/03/2018;2 Ouest;198;2;296,5;SE
2;57;0;10;12;5,1;2;330;0;0;06/03/2018;2 Ouest;198;2;296,5;SE
3;59,3;0;24;30;13;5;290;0;0;06/03/2018;2 Ouest;198;2;296,5;SE
4;61,3;0;0;32;15,4;3;90;1;0;06/03/2018;2 Ouest;198;2;296,5;SE
5;72,3;0;36;37;15,4;3;90;1;0;06/03/2018;2 Ouest;198;2;296,5;SE
1;4;0;16;16;1,9;5;230;0;0;06/03/2018;2 Ouest;198;3;206,5;NE
2;36;0;0;53;6;5;250;1;0;06/03/2018;2 Ouest;198;3;206,5;NE
3;42;0;39;38;9;3;210;1;0;06/03/2018;2 Ouest;198;3;206,5;NE
1;7,5;37;0;11;1,4;5;60;0;0;06/03/2018;2 Ouest;198;4;116,5;NO
2;25;0;0;15;7;5;60;1;0;06/03/2018;2 Ouest;198;4;116,5;NO
3;30;0;12;8;2,8;5;210;0;0;06/03/2018;2 Ouest;198;4;116,5;NO
4;47;0;9;11;0,8;5;0;0;0;06/03/2018;2 Ouest;198;4;116,5;NO
5;52;0;9;10;3,5;4;30;0;0;06/03/2018;2 Ouest;198;4;116,5;NO
