N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;52;NA;13;15;2,2;5;210;0;0;04/03/2018;1 Ouest;113;1;26,5;SO
2;69;NA;NA;40;2,5;5;50;1;0;04/03/2018;1 Ouest;113;1;26,5;SO
3;80;NA;30;28;12;5;30;1;0;04/03/2018;1 Ouest;113;1;26,5;SO
4;101;NA;11;10;2,55;5;150;0;0;04/03/2018;1 Ouest;113;1;26,5;SO
5;106;NA;10;12;1,8;4;320;0;0;04/03/2018;1 Ouest;113;1;26,5;SO
1;2,8;NA;20;30;13,5;5;310;1;0;04/03/2018;1 Ouest;113;2;296,5;SE
2;14,8;NA;88;95;12;4;180;1;0;04/03/2018;1 Ouest;113;2;296,5;SE
3;35;NA;11;10;1,44;5;320;0;0;04/03/2018;1 Ouest;113;2;296,5;SE
4;36,5;NA;15;13;2,2;5;320;0;0;04/03/2018;1 Ouest;113;2;296,5;SE
5;47;NA;32;31;17;5;250;1;0;04/03/2018;1 Ouest;113;2;296,5;SE
6;67;NA;18;19;20;3;160;1;0;04/03/2018;1 Ouest;113;2;296,5;SE
7;100;NA;10;11;4;3;180;0;0;04/03/2018;1 Ouest;113;2;296,5;SE
1;20;NA;10;10;1,8;5;280;0;0;04/03/2018;1 Ouest;113;3;206,5;NE
2;33;NA;10;10;1,85;3;320;0;0;04/03/2018;1 Ouest;113;3;206,5;NE
1;6;NA;20;40;8;4;0;1;0;04/03/2018;1 Ouest;113;3;206,5;NE
2;9;NA;NA;27;6;5;30;1;0;04/03/2018;1 Ouest;113;4;116,5;NO
3;18;NA;21;18;3,5;5;120;1;0;04/03/2018;1 Ouest;113;4;116,5;NO
4;47;NA;18;20;12;4;120;1;0;04/03/2018;1 Ouest;113;4;116,5;NO
5;69;NA;19;29;8,5;5;220;1;0;04/03/2018;1 Ouest;113;4;116,5;NO
