N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;12,8;38;11;11;0,9;4;240;1;0;24/04/2018;2 Ouest;218;1;26,5;SO
2;18;0;0;45;7;2;60;0;0;24/04/2018;2 Ouest;218;1;26,5;SO
3;31;0;0;16;14;5;330;1;0;24/04/2018;2 Ouest;218;1;26,5;SO
4;40;0;0;44;7,4;5;330;1;0;24/04/2018;2 Ouest;218;1;26,5;SO
5;76;69;28;21;8,5;1;300;1;0;24/04/2018;2 Ouest;218;1;26,5;SO
6;78;0;0;10;1,6;4;240;0;0;24/04/2018;2 Ouest;218;1;26,5;SO
7;89;58,5;28;16;4,7;4;270;1;0;24/04/2018;2 Ouest;218;1;26,5;SO
8;105,5;38,4;11;11;6,9;3;270;1;0;24/04/2018;2 Ouest;218;1;26,5;SO
9;107;0;0;13;3,6;4;300;0;0;24/04/2018;2 Ouest;218;1;26,5;SO
1;0,5;38;12;11;5,9;2;210;1;0;24/04/2018;2 Ouest;218;2;296,5;SE
2;1;0;0;10;0,8;5;0;0;0;24/04/2018;2 Ouest;218;2;296,5;SE
3;30,4;0;52;51;25;2;180;1;0;24/04/2018;2 Ouest;218;2;296,5;SE
4;109;0;0;51;7,7;5;60;1;0;24/04/2018;2 Ouest;218;2;296,5;SE
1;0;0;0;10;0,94;4;180;0;0;24/04/2018;2 Ouest;218;3;206,5;NE
2;1;0;0;13;0,73;4;180;0;0;24/04/2018;2 Ouest;218;3;206,5;NE
3;67,5;0;0;63;26,5;5;300;1;0;24/04/2018;2 Ouest;218;3;206,5;NE
4;72;93;25;26;12;4;300;1;0;24/04/2018;2 Ouest;218;3;206,5;NE
5;87;0;0;27;1,8;5;330;1;0;24/04/2018;2 Ouest;218;3;206,5;NE
6;107,6;0;0;100;14;5;150;1;0;24/04/2018;2 Ouest;218;3;206,5;NE
1;16;0;0;20;4;5;280;0;0;24/04/2018;2 Ouest;218;4;116,5;NO
2;18;39;11;13;6,2;1;0;1;0;24/04/2018;2 Ouest;218;4;116,5;NO
3;51;0;0;15;11,2;4;60;1;0;24/04/2018;2 Ouest;218;4;116,5;NO
4;100;0;0;20;2,6;5;300;1;0;24/04/2018;2 Ouest;218;4;116,5;NO
