N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;5,3;4,4;92,6;0;0;2,25;2;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
2;18;1,5;176,5;0;0;9;5;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
3;31;1;40;0;0;1,84;4;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
4;77;8,5;0;69;46;1,1;5;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
1;111;10;87,5;0;0;14,5;4;0;0;17/04/2018;2 Ouest;199;2;296,5;SE
1;89;5;69;0;0;1,85;5;0;0;17/04/2018;2 Ouest;199;3;206,5;NE
2;89;7;53;0;0;9,5;2;0;0;17/04/2018;2 Ouest;199;3;206,5;NE
1;30;3;157;0;0;11;4;1;0;17/04/2018;2 Ouest;199;4;116,5;NO
2;36;5;105,5;0;0;12,5;5;1;0;17/04/2018;2 Ouest;199;4;116,5;NO
3;71;6,5;40,5;0;0;10,5;5;0;0;17/04/2018;2 Ouest;199;4;116,5;NO
4;78;8,9;0;55,5;41,5;0,67;5;0;0;17/04/2018;2 Ouest;199;4;116,5;NO
