DATE;PARCELLE;CARRE;NUMERO;NOM VERNACULAIRE;GENRE;ESPECE;HAUTEUR;DBH;PLACEAU
05/03/2018;1 ouest;114;1a;Ingoka;Thomondersia;hensii;4,5;4,7;4
05/03/2018;1 ouest;114;1b;Ingoka;Thomondersia;hensii;4,5;4,6;4
05/03/2018;1 ouest;114;1c;Ingoka;Thomondersia;hensii;4,5;3,8;4
05/03/2018;1 ouest;114;2a;Ingoka;Thomondersia;hensii;4;2,2;4
05/03/2018;1 ouest;114;2b;Ingoka;Thomondersia;hensii;4;2,5;4
05/03/2018;1 ouest;114;3;Ingoka;Thomondersia;hensii;2,5;2,3;4
05/03/2018;1 ouest;114;4;Toko loko;tabernaemonthana;penduliflora;3,5;6;4
05/03/2018;1 ouest;114;5;Trichilia;Trichilia;dregiana;2,9;4,1;4
05/03/2018;1 ouest;114;6;Tali;Erypthrophteum;suaveolens;4,5;4,8;4
05/03/2018;1 ouest;114;7;Ingoka;Thomondersia;hensii;4,5;3,8;4
05/03/2018;1 ouest;114;8;Mosseke;Cleistanthus;caudatus;2,5;3;4
05/03/2018;1 ouest;114;9;Mosseke;Cleistanthus;caudatus;3,2;4,4;4
05/03/2018;1 ouest;114;10;Moungamba;Dichostemma;glaucescens;4,9;4,1;4
05/03/2018;1 ouest;114;11;Kanda;Beischmiedia;cf obscura;4,5;3,5;4
05/03/2018;1 ouest;114;12;Mengama;Myrianthus;arborcus;3,7;2,8;4
05/03/2018;1 ouest;114;13;Kotibe;Nesogordonia;kabingaensis;2,4;2,8;4
05/03/2018;1 ouest;114;14;Drypetes;Drypetes;diopa;2,3;1,8;4
05/03/2018;1 ouest;114;15;Moungamba;Dichostemma;glaucescens;4;3,6;4
05/03/2018;1 ouest;114;16;Ingoka;Thomondersia;hensii;2;4,1;4
05/03/2018;1 ouest;114;17;Ebene;Diospyros;bipindensis;2,5;3,1;4
05/03/2018;1 ouest;114;18;Allophylus;Allophylus;hamatus;4,1;5;4
05/03/2018;1 ouest;114;19;;Rothmannia;macrocarpa;3,5;3,5;4
05/03/2018;1 ouest;114;20;Ebene;Diospyros;iturensis;4,5;2,5;4
05/03/2018;1 ouest;114;21;Ingoyo;Pancovia;laurentii;5,3;7,8;4
05/03/2018;1 ouest;114;22;Ebene;Diospyros;iturensis;3;2,4;4
05/03/2018;1 ouest;114;23;Trichilia;Trichilia;rubescens;4,5;2,7;4
05/03/2018;1 ouest;114;24;Ebene;Diospyros;bipindensis;3,5;2,1;4
05/03/2018;1 ouest;114;25a;Mosseke 1,2;Cleistanthus;caudatus;4,6;5,6;4
05/03/2018;1 ouest;114;25b;Mosseke 1,2;Cleistanthus;caudatus;4;1,6;4
05/03/2018;1 ouest;114;25c;Mosseke 1,2;Cleistanthus;caudatus;4;1,5;4
05/03/2018;1 ouest;114;26;Essandja;Rinorea;cf  welwitschii;4;3,1;4
05/03/2018;1 ouest;114;27;;Heisteria;pavifolia;2,6;1;4
05/03/2018;1 ouest;114;28;Akeul;Pausynistalia;macroceras;2,5;1,3;4
05/03/2018;1 ouest;114;29;Ingoka;Thomondersia;hensii;4,7;7,6;4
05/03/2018;1 ouest;114;30a;Mokula;Microdesmis;puberula;2,7;2,5;4
05/03/2018;1 ouest;114;30b;Mokula;Microdesmis;puberula;2,7;2,5;4
05/03/2018;1 ouest;114;30c;Mokula;Microdesmis;puberula;2,7;2,6;4
05/03/2018;1 ouest;114;30d;Mokula;Microdesmis;puberula;2,7;2,5;4
05/03/2018;1 ouest;114;30e;Mokula;Microdesmis;puberula;2,7;2,3;4
05/03/2018;1 ouest;114;31;;Aidia;sp;4,1;3,2;4
05/03/2018;1 ouest;114;32;Ingoka;Thomondersia;hensii;3,1;3,6;4
05/03/2018;1 ouest;114;33;Sabifou;Antidesma;laciniatum;5;8,5;4
05/03/2018;1 ouest;114;34;Baku;Ritchiea;aprevaliana;3;2,8;4
05/03/2018;1 ouest;114;35;Ingoka;Thomondersia;hensii;3,5;4,6;4
05/03/2018;1 ouest;114;36;Akeul;Pausynistalia;macroceras;1,9;1;4
05/03/2018;1 ouest;114;37;Ingoka;Thomondersia;hensii;4;2,6;4
05/03/2018;1 ouest;114;38a;Ingoka;Thomondersia;hensii;4,5;4,7;4
05/03/2018;1 ouest;114;38b;Ingoka;Thomondersia;hensii;5,5;3,5;4
05/03/2018;1 ouest;114;39;Toko;Blighia;welwitschii;2,8;1;4
05/03/2018;1 ouest;114;40;Ingoka;Thomondersia;hensii;4,9;3,9;4
05/03/2018;1 ouest;114;41;Ingoka;Thomondersia;hensii;3,5;2,5;4
05/03/2018;1 ouest;114;42;Ingoka;Thomondersia;hensii;5,1;2,3;4
05/03/2018;1 ouest;114;43;Kanda;Beischmiedia;cf obscura;4,5;3;4
06/03/2018;1 ouest;114;44;Moungamba;Dichostemma;glaucescens;6,2;5,8;4
06/03/2018;1 ouest;114;45a;Ingoka;Thomondersia;hensii;4,5;3,2;4
06/03/2018;1 ouest;114;45b;Ingoka;Thomondersia;hensii;4,5;2,5;4
06/03/2018;1 ouest;114;45c;Ingoka;Thomondersia;hensii;4,5;3,2;4
06/03/2018;1 ouest;114;46;Dialium;Dialium;pachyphyllum;4;2,1;4
06/03/2018;1 ouest;114;47a;Ingoka;Thomondersia;hensii;4,7;3,5;4
06/03/2018;1 ouest;114;47b;Ingoka;Thomondersia;hensii;3,6;2,3;4
06/03/2018;1 ouest;114;47c;Ingoka;Thomondersia;hensii;3;1,1;4
06/03/2018;1 ouest;114;48;Ingoka;Thomondersia;hensii;2,6;3,1;4
06/03/2018;1 ouest;114;49;Mokula;Microdesmis;puberula;3,5;1,6;4
06/03/2018;1 ouest;114;50a;Ingoka;Thomondersia;hensii;3,6;2,6;4
06/03/2018;1 ouest;114;50b;Ingoka;Thomondersia;hensii;4;2,2;4
06/03/2018;1 ouest;114;51a;Ingoka;Thomondersia;hensii;4,5;2,6;4
06/03/2018;1 ouest;114;51b;Ingoka;Thomondersia;hensii;4,5;2,1;4
06/03/2018;1 ouest;114;52;Mokula;Microdesmis;puberula;3,5;1,6;4
06/03/2018;1 ouest;114;53;Moungamba;Dichostemma;glaucescens;4,5;2,1;4
06/03/2018;1 ouest;114;54;Moungamba;Dichostemma;glaucescens;2,7;1,2;4
06/03/2018;1 ouest;114;55;Ebene;Diospyros;bipindensis;3,5;2,5;4
06/03/2018;1 ouest;114;56a;Ingoka;Thomondersia;hensii;4,5;3,1;4
06/03/2018;1 ouest;114;56b;Ingoka;Thomondersia;hensii;4,5;3,2;4
06/03/2018;1 ouest;114;56c;Ingoka;Thomondersia;hensii;4,5;2,6;4
06/03/2018;1 ouest;114;56d;Ingoka;Thomondersia;hensii;4,5;2,1;4
06/03/2018;1 ouest;114;56e;Ingoka;Thomondersia;hensii;4,5;2,2;4
06/03/2018;1 ouest;114;56f;Ingoka;Thomondersia;hensii;4,5;1,9;4
06/03/2018;1 ouest;114;56g;Ingoka;Thomondersia;hensii;4,5;2;4
06/03/2018;1 ouest;114;56h;Ingoka;Thomondersia;hensii;4,5;2,2;4
06/03/2018;1 ouest;114;56i;Ingoka;Thomondersia;hensii;4,5;2,2;4
06/03/2018;1 ouest;114;56j;Ingoka;Thomondersia;hensii;4,5;2,5;4
06/03/2018;1 ouest;114;56k;Ingoka;Thomondersia;hensii;4,5;1,9;4
06/03/2018;1 ouest;114;56l;Ingoka;Thomondersia;hensii;4,5;1,8;4
06/03/2018;1 ouest;114;56m;Ingoka;Thomondersia;hensii;4,5;1,6;4
06/03/2018;1 ouest;114;56n;Ingoka;Thomondersia;hensii;4,5;1,5;4
06/03/2018;1 ouest;114;56o;Ingoka;Thomondersia;hensii;4,5;1,4;4
06/03/2018;1 ouest;114;56p;Ingoka;Thomondersia;hensii;4,5;1,5;4
06/03/2018;1 ouest;114;56q;Ingoka;Thomondersia;hensii;4,5;1;4
06/03/2018;1 ouest;114;56r;Ingoka;Thomondersia;hensii;4,5;1,3;4
06/03/2018;1 ouest;114;57a;Assas;Macaranga;spinosa;6,5;5,6;4
06/03/2018;1 ouest;114;57b;Assas;Macaranga;spinosa;6,5;4,6;4
06/03/2018;1 ouest;114;58;Eyong;Eribrom;oblongum;8;7,6;4
06/03/2018;1 ouest;114;59;Essandja;Rinorea;cf welwitschii;2,6;2,1;4
06/03/2018;1 ouest;114;60a;Ingoka;Thomondersia;hensii;4;4,8;4
06/03/2018;1 ouest;114;60b;Ingoka;Thomondersia;hensii;2,8;1,1;4
06/03/2018;1 ouest;114;61;Drypetes;Drypetes;cinnabarina;2,6;2,5;4
06/03/2018;1 ouest;114;62;Niove;Staudia;gabonensis var kam;2,4;1,4;4
06/03/2018;1 ouest;114;63;Ebene;Diospyros;bipindensis;3,9;1,7;4
06/03/2018;1 ouest;114;64;Drypetes;Drypetes;cinnabarina;2;4,4;4
06/03/2018;1 ouest;114;65;Mokula;Microdesmis;puberula;2;1,5;4
06/03/2018;1 ouest;114;66;Mossebe;Hunteria;ballayi;1,9;1,8;4
06/03/2018;1 ouest;114;67;Motunga;Polyalthia;suaveolens;3,5;2,6;4
06/03/2018;1 ouest;114;68;Garcinia;Garcinia;punctata;5;3,6;4
06/03/2018;1 ouest;114;69;Garcinia;Garcinia;smeathmannii;3,5;2,2;4
06/03/2018;1 ouest;114;70;Moungamba;Dichostemma;glaucescens;4,5;4,3;4
06/03/2018;1 ouest;114;71;Molindo;Massularis;acuminata;4,5;2,5;4
06/03/2018;1 ouest;114;72;Padouk;Plerocarpus;soyauxii;3,2;1,4;4
06/03/2018;1 ouest;114;73;Motunga;Polyalthia;suaveolens;4,5;3,8;4
06/03/2018;1 ouest;114;74;Ingoka;Thomondersia;hensii;4,5;5,9;4
06/03/2018;1 ouest;114;75;Moungamba;Dichostemma;glaucescens;2,3;2;4
06/03/2018;1 ouest;114;76a;Ingoka;Thomondersia;hensii;5,7;3,5;4
06/03/2018;1 ouest;114;76b;Ingoka;Thomondersia;hensii;6;3,4;4
06/03/2018;1 ouest;114;77;Essandja;Rinorea;cf welwitschii;3;3,4;4
06/03/2018;1 ouest;114;78a;Ingoka;Thomondersia;hensii;4,5;3,5;4
06/03/2018;1 ouest;114;78b;Ingoka;Thomondersia;hensii;2,7;2,3;4
06/03/2018;1 ouest;114;79;Essandja;Rinorea;cf welwitschii;3,5;3,1;4
06/03/2018;1 ouest;114;80;Essandja;Rinorea;cf welwitschii;2,7;1;4
06/03/2018;1 ouest;114;81;Essandja mbongo;Rinorea;oblongifolia;4,5;2,8;4
06/03/2018;1 ouest;114;82;Essandja;Rinorea;cf welwitschii;2,9;2;4
06/03/2018;1 ouest;114;83;Essandja mbongo;Rinorea;oblongifolia;2,8;2;4
06/03/2018;1 ouest;114;84a;Essandja;Rinorea;cf welwitschii;4,5;5;4
06/03/2018;1 ouest;114;84b;Essandja;Rinorea;cf welwitschii;2,7;1,7;4
06/03/2018;1 ouest;114;85;Ingoka;Thomondersia;hensii;4,5;4,2;4
