N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;6,5;1,2;55;0;0;23;3;0;0;25/04/2018;1 Ouest;95;1;26,5;SO
2;27;1,4;0;130;115;1,29;5;0;0;25/04/2018;1 Ouest;95;1;26,5;SO
3;32,5;5,1;33;0;0;8;4;1;0;25/04/2018;1 Ouest;95;1;26,5;SO
4;111,7;4,8;83;0;0;16;2;1;0;25/04/2018;1 Ouest;95;1;26,5;SO
5;111,7;6,2;0;78;60;0,15;4;0;0;25/04/2018;1 Ouest;95;1;26,5;SO
1;71,5;8,2;32;0;0;6,5;3;0;0;25/04/2018;1 Ouest;95;2;296,5;SE
1;11;5,8;188;0;0;2,95;5;0;0;25/04/2018;1 Ouest;95;3;206,5;NE
2;34,5;7,9;210;0;0;15,5;3;1;0;25/04/2018;1 Ouest;95;3;206,5;NE
3;38,9;8;129;0;0;2,4;5;0;0;25/04/2018;1 Ouest;95;3;206,5;NE
4;44;7;31,5;0;0;2,3;2;0;0;25/04/2018;1 Ouest;95;3;206,5;NE
5;107;9,5;0;267;280;1,2;2;0;1;25/04/2018;1 Ouest;95;3;206,5;NE
1;34;2,9;115;0;0;15;3;1;0;25/04/2018;1 Ouest;95;4;116,5;NO
2;44;0,6;110;0;0;12;3;0;0;25/04/2018;1 Ouest;95;4;116,5;NO
