N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;12;4,3;0;40;26;0,3;5;0;0;06/03/2018;2 Ouest;198;1;26,5;SO
2;32,5;0,3;77;0;0;4,5;5;1;0;06/03/2018;2 Ouest;198;1;26,5;SO
3;40,5;0,5;320;0;0;18;4;1;0;06/03/2018;2 Ouest;198;1;26,5;SO
4;57,6;4,1;36;0;0;7;3;1;0;06/03/2018;2 Ouest;198;1;26,5;SO
5;86,9;2,5;40;0;0;5;4;1;0;06/03/2018;2 Ouest;198;1;26,5;SO
6;98;6,8;52;0;0;8,5;4;1;0;06/03/2018;2 Ouest;198;1;26,5;SO
1;26,8;5,3;70;0;0;2,45;5;1;0;06/03/2018;2 Ouest;198;2;296,5;SE
2;54;4;0;30;21;0,68;4;0;0;06/03/2018;2 Ouest;198;2;296,5;SE
3;63;3,9;46;0;0;5;4;1;0;06/03/2018;2 Ouest;198;2;296,5;SE
4;63;8,3;37;0;0;3;4;1;0;06/03/2018;2 Ouest;198;2;296,5;SE
5;63;10,7;64;0;0;2,5;5;0;0;06/03/2018;2 Ouest;198;2;296,5;SE
6;72;0,5;0;93;71;0,8;5;0;0;06/03/2018;2 Ouest;198;2;296,5;SE
1;51,5;5,5;48;0;0;7,5;5;1;0;06/03/2018;2 Ouest;198;3;206,5;NE
2;73,2;0,5;41;0;0;7;4;1;0;06/03/2018;2 Ouest;198;3;206,5;NE
1;5,4;2;37;0;0;6,5;3;1;0;06/03/2018;2 Ouest;198;4;116,5;NO
2;52;6;36;0;0;2;5;0;0;06/03/2018;2 Ouest;198;4;116,5;NO
