N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;7;0;0;22;27;5;150;1;0;17/04/2018;2 Ouest;219;1;26,5;SO
2;37;0;23;26;10;5;135;0;0;17/04/2018;2 Ouest;219;1;26,5;SO
3;37;0;51,3;51,7;12;5;185;1;0;17/04/2018;2 Ouest;219;1;26,5;SO
4;58;0;24,5;23;14,4;5;240;1;0;17/04/2018;2 Ouest;219;1;26,5;SO
5;82;0;0;15;7,9;4;245;0;0;17/04/2018;2 Ouest;219;1;26,5;SO
1;41;0;0;18;6;5;360;1;0;17/04/2018;2 Ouest;219;2;296,5;SE
2;77;0;0;26;1,85;5;30;1;0;17/04/2018;2 Ouest;219;2;296,5;SE
3;88;0;0;19;3,9;4;220;0;0;17/04/2018;2 Ouest;219;2;296,5;SE
1;52;0;0;30,7;5;5;285;1;0;17/04/2018;2 Ouest;219;3;206,5;NE
2;62;0;0;87,5;1,7;5;95;1;0;17/04/2018;2 Ouest;219;3;206,5;NE
3;81;0;0;13,2;3,8;5;250;1;0;17/04/2018;2 Ouest;219;3;206,5;NE
4;85;0;0;14;4;5;345;1;0;17/04/2018;2 Ouest;219;3;206,5;NE
5;99;0;0;18;0,9;5;160;0;0;17/04/2018;2 Ouest;219;3;206,5;NE
6;109;0;0;53;2,9;5;90;0;0;17/04/2018;2 Ouest;219;3;206,5;NE
1;53;0;0;58,5;13;5;180;1;1;17/04/2018;2 Ouest;219;4;116,5;NO
2;64;0;0;42;3,8;5;70;1;0;17/04/2018;2 Ouest;219;4;116,5;NO
