N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;4,5;0;13,4;12,2;2;5;240;0;0;06/04/2018;2 Est;284;1;26,5;SO
2;4,6;0;0;11;2,4;5;300;0;0;06/04/2018;2 Est;284;1;26,5;SO
3;7;0;0;10;2,92;4;90;0;0;06/04/2018;2 Est;284;1;26,5;SO
4;21;0;0;58,8;2,7;5;340;1;0;06/04/2018;2 Est;284;1;26,5;SO
5;28;0;10;12,1;4,8;2;330;0;0;06/04/2018;2 Est;284;1;26,5;SO
6;40;0;20,5;10;6,3;5;270;1;1;06/04/2018;2 Est;284;1;26,5;SO
7;108,7;0;0;16,9;2;4;130;0;0;06/04/2018;2 Est;284;1;26,5;SO
1;19;0;0;35;4,8;5;210;1;0;06/04/2018;2 Est;284;2;296,5;SE
2;28;0;0;13;1,2;5;340;0;0;06/04/2018;2 Est;284;2;296,5;SE
3;62;0;11,3;11,3;3,5;3;100;0;0;06/04/2018;2 Est;284;2;296,5;SE
4;85;0;125,2;126,4;9;4;180;1;0;06/04/2018;2 Est;284;2;296,5;SE
5;90;0;16;16;1,7;4;160;0;0;06/04/2018;2 Est;284;2;296,5;SE
6;91,5;0;10;11;2,5;5;150;0;0;06/04/2018;2 Est;284;2;296,5;SE
7;92;0;0;10;2,5;5;220;0;0;06/04/2018;2 Est;284;2;296,5;SE
8;93,5;0;0;10;1,2;4;240;0;0;06/04/2018;2 Est;284;2;296,5;SE
9;95;0;10,5;10;1,83;4;280;0;0;06/04/2018;2 Est;284;2;296,5;SE
10;106;0;0;63;3,5;5;340;0;0;06/04/2018;2 Est;284;2;296,5;SE
1;38;0;60;90,6;16,9;5;280;1;0;06/04/2018;2 Est;284;3;206,5;NE
2;38;0;44,2;33,9;15;3;150;1;0;06/04/2018;2 Est;284;3;206,5;NE
3;39;0;15;13;10;5;280;1;0;06/04/2018;2 Est;284;3;206,5;NE
4;61;0;0;14,3;1,38;4;300;0;0;06/04/2018;2 Est;284;3;206,5;NE
5;106;0;0;12,2;1,7;5;280;0;0;06/04/2018;2 Est;284;3;206,5;NE
6;110,7;0;29,3;19;7,4;4;320;1;0;06/04/2018;2 Est;284;3;206,5;NE
1;6;0;129;130;17;3;240;1;0;06/04/2018;2 Est;284;4;116,5;NO
2;48;0;13;11;1,4;5;150;0;0;06/04/2018;2 Est;284;4;116,5;NO
3;58;69;21,6;22;13,5;1;50;1;0;06/04/2018;2 Est;284;4;116,5;NO
4;58;0;0;49,3;13;4;330;1;0;06/04/2018;2 Est;284;4;116,5;NO
5;61;0;38;44;6;4;150;1;0;06/04/2018;2 Est;284;4;116,5;NO
6;75;0;0;28;8;5;120;1;0;06/04/2018;2 Est;284;4;116,5;NO
7;95;0;0;14,7;2,5;4;120;0;1;06/04/2018;2 Est;284;4;116,5;NO
