N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;13;0;31;23;7,1;2;240;1;0;09/03/2018;2 Ouest;177;1;26,5;SO
2;28,1;0;0;10;0,4;5;270;0;0;09/03/2018;2 Ouest;177;1;26,5;SO
3;80,3;0;0;19;6;5;160;0;0;09/03/2018;2 Ouest;177;1;26,5;SO
4;85,3;0;26;30;16;5;160;1;0;09/03/2018;2 Ouest;177;1;26,5;SO
5;90,3;0;0;42;18;5;150;1;0;09/03/2018;2 Ouest;177;1;26,5;SO
1;29,6;173,5;58;56;15;1;90;1;0;09/03/2018;2 Ouest;177;2;296,5;SE
2;35;108;34;25;7;1;100;0;0;09/03/2018;2 Ouest;177;2;296,5;SE
3;40;0;10;10;6,2;4;90;1;0;09/03/2018;2 Ouest;177;2;296,5;SE
4;73;0;9;10;7,5;4;30;1;0;09/03/2018;2 Ouest;177;2;296,5;SE
5;75,8;0;13;15;4,1;3;50;1;0;09/03/2018;2 Ouest;177;2;296,5;SE
6;90,3;0;17;17;2,2;3;220;1;0;09/03/2018;2 Ouest;177;2;296,5;SE
1;24;0;17;16;8,5;3;70;1;0;09/03/2018;2 Ouest;177;3;206,5;NE
2;40,5;0;23;30;6,3;5;150;1;0;09/03/2018;2 Ouest;177;3;206,5;NE
3;74;0;10;10;1,7;4;180;0;0;09/03/2018;2 Ouest;177;3;206,5;NE
4;85;0;15;17;1,3;5;120;0;0;09/03/2018;2 Ouest;177;3;206,5;NE
1;68,5;0;0;21;1;5;0;0;0;09/03/2018;2 Ouest;177;4;116,5;NO
