N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;9,5;3,5;155,5;0;0;2,6;4;0;0;05/04/2018;1 Est;145;1;26,5;SO
2;12;7;119,8;0;0;7,8;3;0;0;05/04/2018;1 Est;145;1;26,5;SO
3;15,5;0;62,4;0;0;3,2;3;0;0;05/04/2018;1 Est;145;1;26,5;SO
4;107;2;0;52;47;0,6;4;0;0;05/04/2018;1 Est;145;1;26,5;SO
1;19;1,5;132;0;0;1,53;4;0;0;05/04/2018;1 Est;145;2;296,5;SE
2;19;3,5;34,5;0;0;10;3;1;0;05/04/2018;1 Est;145;2;296,5;SE
3;29;1;0;49;38;0,8;5;0;0;05/04/2018;1 Est;145;2;296,5;SE
1;841;49;42230,25;0;0;132,25;16;1;0;05/04/2018;1 Est;145;3;206,5;NE
2;93;0,9;81;0;0;4;5;0;0;05/04/2018;1 Est;145;3;206,5;NE
1;2,7;0,35;0;53;41,5;0,96;5;0;0;05/04/2018;1 Est;145;4;116,5;NO
