N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;29;0;0;32;27;4;270;1;0;11/04/2018;1 Ouest;134;1;26,5;SO
2;103;0;0;35;12;5;170;1;0;11/04/2018;1 Ouest;134;1;26,5;SO
3;107;0;0;27;7,9;5;305;1;0;11/04/2018;1 Ouest;134;1;26,5;SO
1;14,5;0;0;11;10,5;4;30;1;0;11/04/2018;1 Ouest;134;2;296,5;SE
2;21;0;0;28,3;13;1;185;1;0;11/04/2018;1 Ouest;134;2;296,5;SE
3;38;0;0;65;7;5;160;1;0;11/04/2018;1 Ouest;134;2;296,5;SE
4;83;0;0;16,2;2,2;5;155;1;0;11/04/2018;1 Ouest;134;2;296,5;SE
1;35;0;0;22;13;5;335;1;0;11/04/2018;1 Ouest;134;3;206,5;NE
2;45;0;0;12,2;2,3;3;0;0;0;11/04/2018;1 Ouest;134;3;206,5;NE
3;96;0;0;11;1,38;5;310;0;0;11/04/2018;1 Ouest;134;3;206,5;NE
4;110,7;0;0;21;8,5;3;150;0;0;11/04/2018;1 Ouest;134;3;206,5;NE
1;5,5;0;0;71,2;27,5;5;60;1;0;11/04/2018;1 Ouest;134;4;116,5;NO
2;80;0;0;35;6,5;5;95;1;0;11/04/2018;1 Ouest;134;4;116,5;NO
