N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;68,2;4,8;56;0;0;5,5;4;0;0;20/04/2018;1 Est;124;1;26,5;SO
2;106;7;100;0;0;2,6;5;0;0;20/04/2018;1 Est;124;1;26,5;SO
3;107,7;6,8;0;133;84;1,1;5;0;0;20/04/2018;1 Est;124;1;26,5;SO
1;26,3;3,2;66;0;0;4;5;0;0;20/04/2018;1 Est;124;2;296,5;SE
2;105;6,1;0;90;48;0,7;5;0;0;20/04/2018;1 Est;124;2;296,5;SE
1;16,3;1,4;106;0;0;29;1;1;0;20/04/2018;1 Est;124;3;206,5;NE
2;35;2,5;0;80;34;1,06;4;0;0;20/04/2018;1 Est;124;3;206,5;NE
3;42;7,8;247;0;0;1,4;5;0;0;20/04/2018;1 Est;124;3;206,5;NE
4;60;5,1;48;0;0;1,9;5;0;0;20/04/2018;1 Est;124;3;206,5;NE
5;65;2,1;0;77;45;1,26;5;0;0;20/04/2018;1 Est;124;3;206,5;NE
6;71,3;6,2;83;0;0;16,5;4;1;0;20/04/2018;1 Est;124;3;206,5;NE
7;84;0,2;42;0;0;6,75;4;0;0;20/04/2018;1 Est;124;3;206,5;NE
8;87,2;28,5;150;0;0;12,5;4;0;0;20/04/2018;1 Est;124;3;206,5;NE
1;33;6;50;0;0;10;5;0;0;20/04/2018;1 Est;124;4;116,5;NO
