N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;30;0;42,6;40;21;1;90;1;0;22/03/2018;1 Est;123;1;26,5;SO
2;45;0;0;17;7,5;5;0;1;0;22/03/2018;1 Est;123;1;26,5;SO
3;76;0;38;22,6;9;3;300;0;0;22/03/2018;1 Est;123;1;26,5;SO
4;82;0;0;54;14,7;4;300;1;0;22/03/2018;1 Est;123;1;26,5;SO
1;3,5;0;0;12;1,3;5;60;0;0;22/03/2018;1 Est;123;2;296,5;SE
2;4;0;0;23;3;5;0;1;0;22/03/2018;1 Est;123;2;296,5;SE
3;13;0;20;21;10;3;0;1;0;22/03/2018;1 Est;123;2;296,5;SE
4;13;0;72;71;18;2;330;1;0;22/03/2018;1 Est;123;2;296,5;SE
5;21;0;0;12;0,7;4;90;0;0;22/03/2018;1 Est;123;2;296,5;SE
6;21,5;0;10;15;2,2;4;90;0;0;22/03/2018;1 Est;123;2;296,5;SE
7;26;0;26,6;22,4;10;3;210;1;0;22/03/2018;1 Est;123;2;296,5;SE
8;52;0;0;10;10;2;190;1;0;22/03/2018;1 Est;123;2;296,5;SE
1;32;0;22;24;8,5;2;90;1;0;22/03/2018;1 Est;123;3;206,5;NE
2;65;0;38;37;5;4;130;1;0;22/03/2018;1 Est;123;3;206,5;NE
3;69;0;0;38;3;5;90;0;0;22/03/2018;1 Est;123;3;206,5;NE
4;81;0;11;16;8;3;280;1;0;22/03/2018;1 Est;123;3;206,5;NE
5;94;0;42;39;7,4;2;280;1;0;22/03/2018;1 Est;123;3;206,5;NE
