N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;10;0;27;30,4;5,6;4;90;1;0;05/04/2018;1 Est;145;1;26,5;SO
2;11;0;32;32,7;7;4;90;0;0;05/04/2018;1 Est;145;1;26,5;SO
3;16;0;0;15;2,4;5;310;0;0;05/04/2018;1 Est;145;1;26,5;SO
4;27;0;0;39;4,1;4;60;1;0;05/04/2018;1 Est;145;1;26,5;SO
5;28;0;0;38;1,86;4;100;1;0;05/04/2018;1 Est;145;1;26,5;SO
6;46;0;16;16;1,26;4;220;0;0;05/04/2018;1 Est;145;1;26,5;SO
7;46,5;0;16,6;16;5,5;4;210;0;0;05/04/2018;1 Est;145;1;26,5;SO
8;48,5;0;0;25;3,8;4;240;1;0;05/04/2018;1 Est;145;1;26,5;SO
9;49;0;13,4;12,7;2,9;3;120;0;0;05/04/2018;1 Est;145;1;26,5;SO
10;54;0;0;20;1,6;4;120;0;0;05/04/2018;1 Est;145;1;26,5;SO
11;55;0;0;36;3,5;4;270;0;0;05/04/2018;1 Est;145;1;26,5;SO
12;91;0;65,5;89;3,9;4;330;0;0;05/04/2018;1 Est;145;1;26,5;SO
13;97;0;0;28;1,4;5;40;0;0;05/04/2018;1 Est;145;1;26,5;SO
1;22;0;42;48;15;4;0;1;0;05/04/2018;1 Est;145;2;296,5;SE
2;60;0;0;15;1,27;5;190;0;0;05/04/2018;1 Est;145;2;296,5;SE
3;75;0;23;18;11;4;0;1;0;05/04/2018;1 Est;145;2;296,5;SE
4;82;0;22;20;17;5;210;1;0;05/04/2018;1 Est;145;2;296,5;SE
5;90;0;0;52,2;7;4;150;0;0;05/04/2018;1 Est;145;2;296,5;SE
1;0,8;0;0;17;1,36;5;0;0;0;05/04/2018;1 Est;145;3;206,5;NE
2;49;0;0;16;3,6;4;260;1;0;05/04/2018;1 Est;145;3;206,5;NE
3;59;0;16,2;15,3;1,56;5;130;0;0;05/04/2018;1 Est;145;3;206,5;NE
4;68;0;0;26,2;11,5;5;230;1;0;05/04/2018;1 Est;145;3;206,5;NE
5;86;0;10;10;4,8;4;50;1;0;05/04/2018;1 Est;145;3;206,5;NE
6;92;0;0;12;2,2;4;0;0;0;05/04/2018;1 Est;145;3;206,5;NE
1;26;0;10;15;3;4;150;0;0;05/04/2018;1 Est;145;4;116,5;NO
2;41;0;34,3;34,3;23;4;30;1;0;05/04/2018;1 Est;145;4;116,5;NO
3;56;56;17;17,2;7;1;230;1;0;05/04/2018;1 Est;145;4;116,5;NO
4;79;0;33;33,5;12;3;70;1;0;05/04/2018;1 Est;145;4;116,5;NO
5;80;0;0;16;3,3;5;90;0;0;05/04/2018;1 Est;145;4;116,5;NO
6;107,5;34,5;11;10;2,17;3;180;0;0;05/04/2018;1 Est;145;4;116,5;NO
