N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;5;2;94;0;0;2,7;5;0;0;05/03/2018;1 Ouest;115;1;26,5;SO
2;23,5;2;0;50;30;1,2;5;0;0;05/03/2018;1 Ouest;115;1;26,5;SO
3;27;6,5;170;0;0;2,4;5;0;1;05/03/2018;1 Ouest;115;1;26,5;SO
4;34;3,5;80;0;0;7,5;5;0;0;05/03/2018;1 Ouest;115;1;26,5;SO
5;45;10;190;0;0;6,4;5;0;0;05/03/2018;1 Ouest;115;1;26,5;SO
6;87;4;0;197;60;1,2;5;0;1;05/03/2018;1 Ouest;115;1;26,5;SO
7;91;0;0;40;26;0,5;5;0;0;05/03/2018;1 Ouest;115;1;26,5;SO
8;92,5;9,5;0;45;15;0,66;4;0;0;05/03/2018;1 Ouest;115;1;26,5;SO
1;27,5;2;186;0;0;5;4;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
2;42;4;300;0;0;10;5;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
3;93;5,5;0;38;30;0,6;5;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
4;93;8;197;0;0;2;5;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
5;101,6;2;0;130;170;1,1;3;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
1;10;7,5;52;0;0;8;5;0;0;05/03/2018;1 Ouest;115;4;116,5;NO
2;30;2;136;0;0;6,5;5;0;0;05/03/2018;1 Ouest;115;4;116,5;NO
3;34;3,5;37;0;0;10;5;0;0;05/03/2018;1 Ouest;115;4;116,5;NO
4;34;3,5;42;0;0;3,5;5;0;0;05/03/2018;1 Ouest;115;4;116,5;NO
