N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;21;1,4;0;54;32;0,36;4;0;0;28/03/2018;2 Est;304;1;26,5;SO
2;22;1;38;0;0;8;3;0;0;28/03/2018;2 Est;304;1;26,5;SO
3;67;10;0;162;100;1;5;0;0;28/03/2018;2 Est;304;1;26,5;SO
4;104;7;0;80;69;0,56;4;0;0;28/03/2018;2 Est;304;1;26,5;SO
1;92;3,8;33;0;0;1,94;3;0;0;28/03/2018;2 Est;304;2;296,5;SE
1;11;10;127,6;0;0;7;3;0;0;28/03/2018;2 Est;304;3;206,5;NE
2;30;0,3;273;0;0;17,5;2;1;0;28/03/2018;2 Est;304;3;206,5;NE
3;34;5,6;0;66;36;0,5;4;0;0;28/03/2018;2 Est;304;3;206,5;NE
4;72;0,3;330;0;0;30;1;1;0;28/03/2018;2 Est;304;3;206,5;NE
1;52;0;0;44,4;36;1,15;3;0;0;28/03/2018;2 Est;304;4;116,5;NO
