N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;13;0;0;22,4;7,8;4;150;1;0;07/04/2018;2 Est;21/11/1900;01/01/1900;26/01/1900;SO
2;24;0;16,3;16,4;3,7;4;240;0;0;07/04/2018;2 Est;21/11/1900;01/01/1900;26/01/1900;SO
3;35;0;0;28;3,5;3;30;1;0;07/04/2018;2 Est;21/11/1900;01/01/1900;26/01/1900;SO
4;38;0;0;29;19;3;90;1;0;07/04/2018;2 Est;21/11/1900;01/01/1900;26/01/1900;SO
5;54;0;11,3;10,6;3,2;4;250;0;0;07/04/2018;2 Est;21/11/1900;01/01/1900;26/01/1900;SO
6;56;0;0;36,6;24,5;5;240;1;0;07/04/2018;2 Est;21/11/1900;01/01/1900;26/01/1900;SO
7;104;0;49;58;17;4;100;1;0;07/04/2018;2 Est;21/11/1900;01/01/1900;26/01/1900;SO
1;28;0;0;15;3,2;5;300;0;0;07/04/2018;2 Est;21/11/1900;02/01/1900;22/10/1900;SE
2;46;0;14;18;0,7;5;0;0;0;07/04/2018;2 Est;21/11/1900;02/01/1900;22/10/1900;SE
3;61;0;10;12;1,72;5;340;0;0;07/04/2018;2 Est;21/11/1900;02/01/1900;22/10/1900;SE
4;62;0;0;13;1,2;5;330;0;0;07/04/2018;2 Est;21/11/1900;02/01/1900;22/10/1900;SE
1;18;0;0;17;0,72;4;180;0;0;07/04/2018;2 Est;21/11/1900;03/01/1900;24/07/1900;NE
2;19;0;0;18;1,08;4;150;0;0;07/04/2018;2 Est;21/11/1900;03/01/1900;24/07/1900;NE
3;62;0;0;21;6;5;120;1;0;07/04/2018;2 Est;21/11/1900;03/01/1900;24/07/1900;NE
4;79;0;0;15;5,8;5;330;1;0;07/04/2018;2 Est;21/11/1900;03/01/1900;24/07/1900;NE
5;100;0;27;35,3;8;5;330;1;0;07/04/2018;2 Est;21/11/1900;03/01/1900;24/07/1900;NE
1;6;0;11;12;2;4;340;0;0;07/04/2018;2 Est;21/11/1900;04/01/1900;25/04/1900;NO
2;14;0;10;10;3,5;3;280;0;0;07/04/2018;2 Est;21/11/1900;04/01/1900;25/04/1900;NO
3;22;0;24;23;25;1;120;1;0;07/04/2018;2 Est;21/11/1900;04/01/1900;25/04/1900;NO
4;35;35;11;10;3,1;1;210;0;0;07/04/2018;2 Est;21/11/1900;04/01/1900;25/04/1900;NO
