N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;25,4;327;104;90;20;3;170;1;0;04/03/2018;1 Ouest;93;1;26,5;SO
2;33,9;0;12;13;5,3;3;30;0;0;04/03/2018;1 Ouest;93;1;26,5;SO
3;49,9;40;14;12;4,59;2;150;0;0;04/03/2018;1 Ouest;93;1;26,5;SO
4;82;0;14;15;1,8;5;280;0;0;04/03/2018;1 Ouest;93;1;26,5;SO
5;90;0;17;15;9;4;30;0;0;04/03/2018;1 Ouest;93;1;26,5;SO
6;94;0;29;27;8;5;90;1;0;04/03/2018;1 Ouest;93;1;26,5;SO
7;99,9;0;24;14;3,5;5;120;0;0;04/03/2018;1 Ouest;93;1;26,5;SO
1;7,9;0;40;64;9;5;170;1;0;04/03/2018;1 Ouest;93;2;296,5;SO
2;11,9;0;17;17;1,9;4;20;0;0;04/03/2018;1 Ouest;93;2;296,5;SO
3;59,9;45;14;20;1,15;3;240;0;0;04/03/2018;1 Ouest;93;2;296,5;SO
4;74,9;65;18;20;16;3;120;1;0;04/03/2018;1 Ouest;93;2;296,5;SO
5;105;0;34;38;6;5;120;1;0;04/03/2018;1 Ouest;93;2;296,5;SO
1;85;0;35;31;14;5;310;1;0;04/03/2018;1 Ouest;93;3;206,5;NE
2;107;0;15;17;7;4;70;1;0;04/03/2018;1 Ouest;93;3;206,5;NE
1;64,7;0;29;29;9,4;5;190;1;0;04/03/2018;1 Ouest;93;4;116,5;NO
2;80,7;0;10;10;5;2;300;0;0;04/03/2018;1 Ouest;93;4;116,5;NO
