N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;48;6;0;140;60;1,13;5;0;0;23/03/2018;1 Est;125;1;26,5;SO
2;61;8,3;232;0;0;27;2;1;0;23/03/2018;1 Est;125;1;26,5;SO
3;86;1;79;0;0;11;5;1;0;23/03/2018;1 Est;125;1;26,5;SO
4;86;6,5;72;0;0;3,1;4;0;0;23/03/2018;1 Est;125;1;26,5;SO
5;105;1,8;37;0;0;1,83;3;0;0;23/03/2018;1 Est;125;1;26,5;SO
1;13;6,5;140;0;0;2,3;4;0;0;23/03/2018;1 Est;125;2;296,5;SE
2;18,5;6;160;0;0;23;5;1;0;23/03/2018;1 Est;125;2;296,5;SE
3;46;3;46,5;0;0;8;3;1;0;23/03/2018;1 Est;125;2;296,5;SE
1;0;3,5;0;54;35;0,05;4;0;0;23/03/2018;1 Est;125;3;206,5;NE
2;33,5;10;116,5;0;0;17,5;3;1;0;23/03/2018;1 Est;125;3;206,5;NE
3;92;8,3;77;0;0;14,5;3;0;0;23/03/2018;1 Est;125;3;206,5;NE
4;93;9,7;64,2;0;0;13,5;4;0;0;23/03/2018;1 Est;125;3;206,5;NE
1;0;4,8;146;0;0;17,5;3;1;0;23/03/2018;1 Est;125;4;116,5;NO
2;58;8;92,6;0;0;5,9;3;0;0;23/03/2018;1 Est;125;4;116,5;NO
