N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;13,3;2,5;67;0;0;13;3;1;0;10/03/2018;2 Est;305;1;26,5;SO
2;20;6,5;37;0;0;7;2;1;0;10/03/2018;2 Est;305;1;26,5;SO
3;44,3;3,3;60;0;0;15;3;1;0;10/03/2018;2 Est;305;1;26,5;SO
4;44,5;3,4;45;0;0;15;5;1;0;10/03/2018;2 Est;305;1;26,5;SO
5;77,4;2,2;86;0;0;6,5;2;1;0;10/03/2018;2 Est;305;1;26,5;SO
1;15;0,4;38,3;0;0;8;4;1;0;10/03/2018;2 Est;305;2;296,5;SE
2;22;3,5;57;0;0;6,7;5;0;0;10/03/2018;2 Est;305;2;296,5;SE
3;26;5;67;0;0;2,4;4;0;0;10/03/2018;2 Est;305;2;296,5;SE
4;34;6,5;51;0;0;11;3;1;0;10/03/2018;2 Est;305;2;296,5;SE
5;67;8;71;0;0;3,7;5;0;0;10/03/2018;2 Est;305;2;296,5;SE
1;24;5;0;66;27;0,77;5;0;0;10/03/2018;2 Est;305;2;296,5;SE
2;58;4;36;0;0;5;5;0;0;10/03/2018;2 Est;305;3;206,5;NE
3;60;1,8;34,2;0;0;3,5;3;1;0;10/03/2018;2 Est;305;3;206,5;NE
4;60;2;31;0;0;1,6;3;1;0;10/03/2018;2 Est;305;3;206,5;NE
5;102;3,5;64,5;0;0;1,93;3;0;0;10/03/2018;2 Est;305;3;206,5;NE
1;0,1;1,1;104;0;0;1,98;5;0;0;10/03/2018;2 Est;305;4;116,5;NO
2;43;10;170;0;0;3,5;5;0;1;10/03/2018;2 Est;305;4;116,5;NO
3;48;5;0;42,6;27;1,17;4;0;0;10/03/2018;2 Est;305;4;116,5;NO
4;56;7;54;0;0;1,4;5;0;0;10/03/2018;2 Est;305;4;116,5;NO
