N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;5;10;62;0;0;7,5;4;1;1;13/03/2018;2 Ouest;217;1;26,5;SO
2;10;3,5;64,1;0;0;18;3;1;0;13/03/2018;2 Ouest;217;1;26,5;SO
3;29;8;62;0;0;6,4;4;0;0;13/03/2018;2 Ouest;217;1;26,5;SO
4;78;1;198;0;0;6,1;4;0;0;13/03/2018;2 Ouest;217;1;26,5;SO
1;8;1,8;0;73;58;0,83;4;0;0;13/03/2018;2 Ouest;217;2;296,5;SE
2;39;3;0;101;53;0,87;5;0;0;13/03/2018;2 Ouest;217;2;296,5;SE
3;65;3,7;47;0;0;6;5;0;0;13/03/2018;2 Ouest;217;2;296,5;SE
4;76;4,5;53;0;0;14;5;1;0;13/03/2018;2 Ouest;217;2;296,5;SE
1;50;5,5;0;153;82;1,25;5;0;0;13/03/2018;2 Ouest;217;3;206,5;NE
2;60;2,2;126;0;0;1,85;5;0;0;13/03/2018;2 Ouest;217;3;206,5;NE
3;76;3,5;60;0;0;1,53;5;0;0;13/03/2018;2 Ouest;217;3;206,5;NE
1;68;0,6;227;0;0;3,2;5;0;0;13/03/2018;2 Ouest;217;4;116,5;NO
2;89;1,2;32,5;0;0;6,5;2;1;0;13/03/2018;2 Ouest;217;4;116,5;NO
