N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;29;0;10;13;1,53;4;60;0;1;04/04/2018;2 Ouest;197;1;26,5;SO
2;64;0;16;22;7,4;4;170;1;0;04/04/2018;2 Ouest;197;1;26,5;SO
3;80;0;0;13;4;3;180;0;0;04/04/2018;2 Ouest;197;1;26,5;SO
4;111;0;18;24,5;4,2;3;270;0;0;04/04/2018;2 Ouest;197;1;26,5;SO
1;44;86;28,6;25;24;3;50;1;0;04/04/2018;2 Ouest;197;2;296,5;SE
2;92;0;0;15,2;7;3;60;0;0;04/04/2018;2 Ouest;197;2;296,5;SE
1;23;0;10;10,3;1,3;5;60;0;0;04/04/2018;2 Ouest;197;3;206,5;NE
2;23,5;0;8;10,2;2;4;30;0;0;04/04/2018;2 Ouest;197;3;206,5;NE
3;31;0;30;30,5;6,9;5;270;1;0;04/04/2018;2 Ouest;197;3;206,5;NE
4;54;0;14,5;14;1,4;4;250;0;0;04/04/2018;2 Ouest;197;3;206,5;NE
5;54,5;0;13;19;2,7;4;210;0;0;04/04/2018;2 Ouest;197;3;206,5;NE
6;105;0;11,5;11;3,3;2;30;0;0;04/04/2018;2 Ouest;197;3;206,5;NE
1;9,4;0;12;13;1,07;4;270;0;0;04/04/2018;2 Ouest;197;4;116,5;NO
2;10,5;0;14;16,2;3;4;30;0;0;04/04/2018;2 Ouest;197;4;116,5;NO
3;13;0;23,4;20;11;3;60;0;0;04/04/2018;2 Ouest;197;4;116,5;NO
4;24;0;0;16;3,5;3;210;0;0;04/04/2018;2 Ouest;197;4;116,5;NO
5;27;0;0;14,2;4,8;2;240;0;0;04/04/2018;2 Ouest;197;4;116,5;NO
6;28;0;0;15,6;2;3;220;0;0;04/04/2018;2 Ouest;197;4;116,5;NO
