N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;30,5;0;0;42;12,5;5;130;1;0;19/04/2018;2 Est;306;1;26,5;SO
2;31,5;0;0;22;3,6;4;0;0;0;19/04/2018;2 Est;306;1;26,5;SO
3;43,5;36;11;10;7;4;300;0;0;19/04/2018;2 Est;306;1;26,5;SO
4;43,5;0;0;11;0,7;5;320;1;0;19/04/2018;2 Est;306;1;26,5;SO
5;47;100;31;35;11;5;320;1;0;19/04/2018;2 Est;306;1;26,5;SO
6;59;0;0;11;7,2;4;335;1;0;19/04/2018;2 Est;306;1;26,5;SO
7;89;0;0;15;8,3;5;210;0;0;19/04/2018;2 Est;306;1;26,5;SO
8;90;0;0;71;11,5;3;90;1;0;19/04/2018;2 Est;306;1;26,5;SO
9;93;0;0;51;9,4;4;150;1;0;19/04/2018;2 Est;306;1;26,5;SO
10;95;0;0;11;4,5;5;150;1;0;19/04/2018;2 Est;306;1;26,5;SO
11;109;0;0;42;10;5;120;1;0;19/04/2018;2 Est;306;1;26,5;SO
1;74;0;0;30;6,2;4;340;1;0;19/04/2018;2 Est;306;2;296,5;SE
1;8;0;0;28;9,1;5;210;1;0;19/04/2018;2 Est;306;3;206,5;NE
1;38;0;0;14;0,8;5;190;1;0;19/04/2018;2 Est;306;4;116,5;NO
2;58;0;0;14;13,5;4;330;1;0;19/04/2018;2 Est;306;4;116,5;NO
3;67;0;0;33;5,7;4;115;1;0;19/04/2018;2 Est;306;4;116,5;NO
4;69;0;0;16;1,2;4;30;1;0;19/04/2018;2 Est;306;4;116,5;NO
5;69,5;0;0;16;9,9;4;90;1;0;19/04/2018;2 Est;306;4;116,5;NO
6;72;0;0;13;0,9;5;30;0;0;19/04/2018;2 Est;306;4;116,5;NO
7;78;0;0;10;2,4;5;60;0;0;19/04/2018;2 Est;306;4;116,5;NO
8;80;0;0;10;1,9;5;60;0;0;19/04/2018;2 Est;306;4;116,5;NO
9;81;0;0;16;6,7;4;210;1;0;19/04/2018;2 Est;306;4;116,5;NO
10;90;0;0;10;4,8;5;0;1;0;19/04/2018;2 Est;306;4;116,5;NO
