N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;5;0;0;28;4;5;1;1;0;05/03/2018;1 Ouest;115;1;26,5;SO
2;13,5;0;9;10;10;3;340;1;0;05/03/2018;1 Ouest;115;1;26,5;SO
3;70;0;10;10;6,4;2;280;1;0;05/03/2018;1 Ouest;115;1;26,5;SO
4;71;0;28;30;2;5;330;1;0;05/03/2018;1 Ouest;115;1;26,5;SO
5;77;0;18;17;1,8;3;190;0;0;05/03/2018;1 Ouest;115;1;26,5;SO
6;80;0;17;15;5;2;0;0;0;05/03/2018;1 Ouest;115;1;26,5;SO
7;109;0;28;30;7,3;5;210;1;0;05/03/2018;1 Ouest;115;1;26,5;SO
1;2;0;20;17;9,6;5;70;1;0;05/03/2018;1 Ouest;115;2;296,5;SE
2;15;0;21;19;7,5;4;190;1;0;05/03/2018;1 Ouest;115;2;296,5;SE
3;21;0;42;38;2,5;3;280;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
4;27;0;28;35;3,6;4;0;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
5;36;0;42;52;4,5;4;220;1;0;05/03/2018;1 Ouest;115;2;296,5;SE
6;38;0;0;61;3,5;3;170;1;0;05/03/2018;1 Ouest;115;2;296,5;SE
7;50;0;11;13;3,7;3;210;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
8;62;0;10;12;2;3;280;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
9;65;0;11;11;4;3;280;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
10;70;0;14;14;2,3;3;30;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
11;92;0;18;16;2,2;3;90;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
12;97;0;22;17;4,6;4;280;1;0;05/03/2018;1 Ouest;115;2;296,5;SE
13;101,6;0;30;33;14,8;4;280;1;0;05/03/2018;1 Ouest;115;2;296,5;SE
14;103;0;16;15;2,5;5;60;0;0;05/03/2018;1 Ouest;115;2;296,5;SE
1;20;0;13;10;1,9;4;50;0;0;05/03/2018;1 Ouest;115;3;206,5;NE
2;31;0;112;107;10;3;0;1;0;05/03/2018;1 Ouest;115;3;206,5;NE
3;46;0;0;55;5;5;90;1;0;05/03/2018;1 Ouest;115;3;206,5;NE
4;51;0;14;13;4;4;130;0;0;05/03/2018;1 Ouest;115;3;206,5;NE
1;0,5;0;30;36;15;3;100;1;0;05/03/2018;1 Ouest;115;4;116,5;NO
2;20;0;13;14;9;5;100;1;0;05/03/2018;1 Ouest;115;4;116,5;NO
3;55;0;0;27;8;5;270;1;0;05/03/2018;1 Ouest;115;4;116,5;NO
