N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;19;0;0;12,8;7;5;120;1;0;28/03/2018;2 Est;304;1;26,5;SO
2;52;0;0;15,3;4,1;5;300;0;0;28/03/2018;2 Est;304;1;26,5;SO
3;94;0;0;13,5;1,5;5;120;0;0;28/03/2018;2 Est;304;1;26,5;SO
4;111;0;8,5;13;5;4;180;0;0;28/03/2018;2 Est;304;1;26,5;SO
1;40;0;0;16;0,52;5;300;0;0;28/03/2018;2 Est;304;2;296,5;SE
2;45;0;0;19;2;5;0;0;0;28/03/2018;2 Est;304;2;296,5;SE
3;50;0;0;11;3,1;4;210;0;0;28/03/2018;2 Est;304;2;296,5;SE
4;70;0;9,5;10,7;0,71;3;180;0;0;28/03/2018;2 Est;304;2;296,5;SE
5;84;0;0;26,9;2,2;5;270;0;0;28/03/2018;2 Est;304;2;296,5;SE
1;26;0;0;20,4;2;5;120;0;0;28/03/2018;2 Est;304;3;206,5;NE
2;38;0;37;42;11;4;180;1;0;28/03/2018;2 Est;304;3;206,5;NE
3;59;0;0;18,7;1,9;5;150;0;0;28/03/2018;2 Est;304;3;206,5;NE
4;64;0;0;24,2;1;4;300;0;0;28/03/2018;2 Est;304;3;206,5;NE
5;66;0;0;22,5;0,9;4;180;0;0;28/03/2018;2 Est;304;3;206,5;NE
6;67;0;0;23;1,27;4;240;0;0;28/03/2018;2 Est;304;3;206,5;NE
7;90;0;0;17,3;1,33;5;210;0;0;28/03/2018;2 Est;304;3;206,5;NE
1;25;0;0;14,7;1,2;4;320;0;0;28/03/2018;2 Est;304;4;116,5;NO
2;46;0;28,5;26;14,5;4;30;1;0;28/03/2018;2 Est;304;4;116,5;NO
3;68;0;0;13,3;0,5;5;40;0;0;28/03/2018;2 Est;304;4;116,5;NO
4;73;0;10;10,7;1,42;3;300;0;0;28/03/2018;2 Est;304;4;116,5;NO
5;108;0;15,2;16,9;2,5;4;0;0;0;28/03/2018;2 Est;304;4;116,5;NO
