N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;18;0;0;33,5;7;5;330;1;0;11/04/2018;1 Ouest;133;1;26,5;SO
2;60;0;0;17;1,7;5;30;0;0;11/04/2018;1 Ouest;133;1;26,5;SO
3;70,5;0;26;26;11;2;90;1;0;11/04/2018;1 Ouest;133;1;26,5;SO
4;88;0;0;29;4,3;5;125;1;0;11/04/2018;1 Ouest;133;1;26,5;SO
5;90;0;0;18;175;5;30;1;0;11/04/2018;1 Ouest;133;1;26,5;SO
1;76;0;0;18;6,7;5;70;1;0;11/04/2018;1 Ouest;133;2;296,5;SE
2;78;0;0;12,3;0,7;5;125;0;0;11/04/2018;1 Ouest;133;2;296,5;SE
3;82;0;0;27,2;15,5;5;30;0;0;11/04/2018;1 Ouest;133;2;296,5;SE
4;87;0;0;11;2;5;135;1;0;11/04/2018;1 Ouest;133;2;296,5;SE
1;29;0;0;30;9;5;70;1;0;11/04/2018;1 Ouest;133;4;116,5;NO
2;31;0;0;16,5;7;5;280;1;0;11/04/2018;1 Ouest;133;4;116,5;NO
3;33;0;0;16,4;5,1;4;10;0;0;11/04/2018;1 Ouest;133;4;116,5;NO
4;37;0;0;12;3,5;4;30;1;0;11/04/2018;1 Ouest;133;4;116,5;NO
5;70;0;0;40;6;5;95;1;0;11/04/2018;1 Ouest;133;4;116,5;NO
6;88;0;0;27,4;5,5;5;95;1;0;11/04/2018;1 Ouest;133;4;116,5;NO
