N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;17,5;7,5;62,4;0;0;8,5;5;1;0;11/03/2018;2 Est;325;1;26,5;SO
2;27;5;52,2;0;0;9;3;1;0;11/03/2018;2 Est;325;1;26,5;SO
3;33;4,5;65;0;0;4,6;5;0;0;11/03/2018;2 Est;325;1;26,5;SO
4;72;3,8;0;230;172;0,98;4;0;0;11/03/2018;2 Est;325;1;26,5;SO
1;18;2;78;0;0;7;5;1;0;11/03/2018;2 Est;325;2;296,5;SE
2;54;1,8;0;106;81,5;0,75;4;0;0;11/03/2018;2 Est;325;2;296,5;SE
3;74;2;34,5;0;0;1,5;3;0;0;11/03/2018;2 Est;325;2;296,5;SE
4;82;6;0;44,1;38;1,35;4;0;0;11/03/2018;2 Est;325;2;296,5;SE
1;41;1;31,5;0;0;3,3;2;0;0;11/03/2018;2 Est;325;3;206,5;NE
2;55;3;36;0;0;6,2;4;0;0;11/03/2018;2 Est;325;3;206,5;NE
3;60;6;46,5;0;0;2;4;0;0;11/03/2018;2 Est;325;3;206,5;NE
1;15;5,9;52;0;0;2,4;5;0;0;11/03/2018;2 Est;325;4;116,5;NO
2;25;10;60;0;0;1,52;5;0;0;11/03/2018;2 Est;325;4;116,5;NO
3;32;8,5;92,7;0;0;3,8;5;0;0;11/03/2018;2 Est;325;4;116,5;NO
