N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;20;0;29;21,7;7;4;240;0;0;26/03/2018;2 Est;286;1;26,5;SO
2;35;0;0;10,8;1,6;5;270;0;0;26/03/2018;2 Est;286;1;26,5;SO
3;79;0;0;27,5;2;5;270;0;0;26/03/2018;2 Est;286;1;26,5;SO
1;8;0;0;17,8;14;4;20;1;0;26/03/2018;2 Est;286;2;296,5;SE
2;17;0;0;15,9;6;4;270;0;0;26/03/2018;2 Est;286;2;296,5;SE
3;18;0;0;10,8;2,3;4;240;0;0;26/03/2018;2 Est;286;2;296,5;SE
4;35;0;26,5;28,6;13;5;180;1;0;26/03/2018;2 Est;286;2;296,5;SE
5;49;0;0;40,5;2,63;5;190;1;0;26/03/2018;2 Est;286;2;296,5;SE
6;75;0;0;15,5;5;5;60;0;0;26/03/2018;2 Est;286;2;296,5;SE
7;99;0;17,2;14;6;4;250;0;0;26/03/2018;2 Est;286;2;296,5;SE
8;104;0;0;27,8;8;5;220;1;0;26/03/2018;2 Est;286;2;296,5;SE
9;107;0;0;18,5;5,1;4;220;1;0;26/03/2018;2 Est;286;2;296,5;SE
1;56;0;54,3;59,5;19;2;280;1;0;26/03/2018;2 Est;286;3;206,5;NE
2;69;0;10,6;16,3;1,4;3;280;0;0;26/03/2018;2 Est;286;3;206,5;NE
3;77;0;0;15,4;0,5;4;250;0;0;26/03/2018;2 Est;286;3;206,5;NE
4;86;115;36,6;34,8;16;2;0;1;0;26/03/2018;2 Est;286;3;206,5;NE
5;95;0;0;73,7;12;5;180;1;0;26/03/2018;2 Est;286;3;206,5;NE
1;14;0;0;13,3;5,4;4;160;1;0;26/03/2018;2 Est;286;4;116,5;NO
2;86,5;49,5;16,1;16,5;6,6;1;260;0;0;26/03/2018;2 Est;286;4;116,5;NO
3;91;75,5;22,2;24,5;11;2;190;1;0;26/03/2018;2 Est;286;4;116,5;NO
4;101;0;0;11,3;1;5;90;0;0;26/03/2018;2 Est;286;4;116,5;NO
