N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;27,8;33;11;10;7,3;5;330;1;0;23/04/2018;2 Ouest;179;1;26,5;SO
2;84,5;0;0;16;1,8;5;30;1;0;23/04/2018;2 Ouest;179;1;26,5;SO
3;87;0;0;101;5,1;5;240;1;0;23/04/2018;2 Ouest;179;1;26,5;SO
4;96,9;0;0;18;8,6;5;180;0;0;23/04/2018;2 Ouest;179;1;26,5;SO
5;100;0;0;34;6,5;4;180;0;0;23/04/2018;2 Ouest;179;1;26,5;SO
6;106;0;0;90;13,5;4;150;1;0;23/04/2018;2 Ouest;179;1;26,5;SO
7;106;0;0;90;7,8;4;270;0;0;23/04/2018;2 Ouest;179;1;26,5;SO
8;106,5;0;0;90;6;4;230;0;0;23/04/2018;2 Ouest;179;1;26,5;SO
1;78;0;0;10;1,18;5;30;0;0;23/04/2018;2 Ouest;179;2;296,5;SE
2;94,5;0;0;35;37,5;4;30;1;0;23/04/2018;2 Ouest;179;2;296,5;SE
3;105;61;19;19;11;1;0;1;0;23/04/2018;2 Ouest;179;2;296,5;SE
1;21,5;0;0;42;18;5;270;1;0;23/04/2018;2 Ouest;179;3;206,5;NE
2;32;0;0;18;3,8;5;120;1;0;23/04/2018;2 Ouest;179;3;206,5;NE
3;40;0;0;26;2,3;3;180;0;0;23/04/2018;2 Ouest;179;3;206,5;NE
4;58,6;0;0;39;3,4;5;120;1;0;23/04/2018;2 Ouest;179;3;206,5;NE
5;74;0;0;18;1,1;4;90;0;0;23/04/2018;2 Ouest;179;3;206,5;NE
6;86,5;0;0;17;30,5;1;180;1;0;23/04/2018;2 Ouest;179;3;206,5;NE
7;102;0;0;14;8,7;5;120;1;0;23/04/2018;2 Ouest;179;3;206,5;NE
8;105,8;0;0;18;15,8;4;120;1;0;23/04/2018;2 Ouest;179;3;206,5;NE
1;4;0;0;73;3,6;5;0;1;0;23/04/2018;2 Ouest;179;4;116,5;NO
2;17,4;37;10;12;23;1;180;1;0;23/04/2018;2 Ouest;179;4;116,5;NO
3;26;0;0;10;1,33;4;180;0;0;23/04/2018;2 Ouest;179;4;116,5;NO
4;32;44;14;12;6,6;2;0;1;0;23/04/2018;2 Ouest;179;4;116,5;NO
5;58;0;0;12;0,56;2;300;0;0;23/04/2018;2 Ouest;179;4;116,5;NO
6;59;0;0;12;1,07;2;330;0;0;23/04/2018;2 Ouest;179;4;116,5;NO
7;89,5;0;0;10;4,5;5;30;1;0;23/04/2018;2 Ouest;179;4;116,5;NO
8;104,9;0;22;22;14;5;30;1;0;23/04/2018;2 Ouest;179;4;116,5;NO
9;106,5;0;18;25;17,5;5;210;1;0;23/04/2018;2 Ouest;179;4;116,5;NO
