N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;49;0;18,7;17,4;6;3;170;1;0;09/04/2018;1 Est;163;1;26,5;SO
2;50;0;19;16;2,3;3;180;1;0;09/04/2018;1 Est;163;1;26,5;SO
3;60;0;0;11;5,8;3;330;0;0;09/04/2018;1 Est;163;1;26,5;SO
1;92;42;11;11,5;9;4;90;1;0;09/04/2018;1 Est;163;2;296,5;SE
1;18;0;11;10,5;6,8;4;30;0;0;09/04/2018;1 Est;163;3;206,5;NE
2;103;44;11;17;5;3;330;0;0;09/04/2018;1 Est;163;3;206,5;NE
1;5;49;13,5;14;4,3;2;0;0;0;09/04/2018;1 Est;163;4;116,5;NO
2;10,5;68;20,5;22,3;17;2;330;1;0;09/04/2018;1 Est;163;4;116,5;NO
3;37;0;0;19,5;2,8;4;90;0;0;09/04/2018;1 Est;163;4;116,5;NO
4;68;0;16;15,6;1,8;4;30;0;0;09/04/2018;1 Est;163;4;116,5;NO
