N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;99,9;1;135;0;0;5,5;4;0;0;04/03/2018;1 Ouest;93;1;26,5;SO
1;14,9;5;48;0;0;4;3;0;0;04/03/2018;1 Ouest;93;2;296,5;SE
2;14,9;0,5;44;0;0;9;4;0;0;04/03/2018;1 Ouest;93;2;296,5;SE
3;30;1;32;0;0;2,1;4;0;0;04/03/2018;1 Ouest;93;2;296,5;SE
1;80;1;230;0;0;16;4;0;0;04/03/2018;1 Ouest;93;4;116,5; NO
2;90;4;400;0;0;10;4;1;0;04/03/2018;1 Ouest;93;4;116,5; NO
3;102;1;70;0;0;4,85;4;0;0;04/03/2018;1 Ouest;93;4;116,5; NO
