N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;26;0,4;0;47;30;0,47;5;0;0;11/03/2018;2 Est;324;1;26,5;SO
2;26;2;0;80;69;1;5;0;0;11/03/2018;2 Est;324;1;26,5;SO
3;40;4,73;50,5;0;0;10,7;3;1;0;11/03/2018;2 Est;324;1;26,5;SO
1;73;0,5;0;0;0;1,7;2;0;0;11/03/2018;2 Est;324;2;296,5;SE
1;55;0,5;250;0;0;15,5;1;1;0;11/03/2018;2 Est;324;2;206,5;NE
1;28;3,65;95;0;0;10;1;1;0;11/03/2018;2 Est;324;4;116,5;NO
2;53;3,5;36;0;0;3,3;2;0;0;11/03/2018;2 Est;324;4;116,5;NO
