N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;27;0;20;23,4;10,2;5;340;1;0;24/03/2018;2 Ouest;178;1;26,5;SO
2;36;0;0;25,4;13;4;340;1;0;24/03/2018;2 Ouest;178;1;26,5;SO
3;51;0;0;35;7,5;4;240;1;0;24/03/2018;2 Ouest;178;1;26,5;SO
4;68;0;34;20;10;4;340;1;0;24/03/2018;2 Ouest;178;1;26,5;SO
5;95;0;0;30,4;2,45;5;90;0;0;24/03/2018;2 Ouest;178;1;26,5;SO
1;11;0;10,8;10,3;2,2;4;180;0;0;24/03/2018;2 Ouest;178;2;296,5;SE
2;44;0;0;29,5;2;5;20;1;0;24/03/2018;2 Ouest;178;2;296,5;SE
3;79;0;0;20;1,2;5;265;0;0;24/03/2018;2 Ouest;178;2;296,5;SE
4;88;0;0;18,7;0,7;5;280;0;0;24/03/2018;2 Ouest;178;2;296,5;SE
5;91;0;0;13;1,2;4;0;0;0;24/03/2018;2 Ouest;178;2;296,5;SE
1;4,1;0;0;17,6;4,5;5;30;0;0;24/03/2018;2 Ouest;178;3;206,5;NE
2;106;0;0;14,8;4;5;220;0;0;24/03/2018;2 Ouest;178;3;206,5;NE
3;108;0;14;12,3;6;4;230;0;0;24/03/2018;2 Ouest;178;3;206,5;NE
1;5;0;30;26,4;16;5;90;1;0;24/03/2018;2 Ouest;178;4;116,5;NO
2;50;0;44,9;56,7;8;5;0;1;0;24/03/2018;2 Ouest;178;4;116,5;NO
3;57;78,7;27,4;23,2;12;2;270;1;0;24/03/2018;2 Ouest;178;4;116,5;NO
4;64;0;0;11,1;0,9;5;45;0;0;24/03/2018;2 Ouest;178;4;116,5;NO
