N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;12,8;0,5;134;0;0;7;3;1;0;04/03/2018;1 Ouest;135;1;26,5;SO
2;18,8;3,5;174;0;0;9;4;1;0;04/03/2018;1 Ouest;135;1;26,5;SO
3;36,8;0;340;0;0;3;5;0;0;04/03/2018;1 Ouest;135;1;26,5;SO
1;11,2;1;68;0;0;10;5;1;0;06/03/2018;1 Ouest;135;2;296,5;SE
2;38,9;0;50;0;0;11;1;1;0;06/03/2018;1 Ouest;135;2;296,5;SE
3;55,9;6,3;95;0;0;5,8;4;1;0;06/03/2018;1 Ouest;135;2;296,5;SE
4;79,3;5,4;52;0;0;7;3;1;0;06/03/2018;1 Ouest;135;2;296,5;SE
1;8,9;3,9;186;0;0;11;3;1;0;06/03/2018;1 Ouest;135;3;206,5;NE
1;3,4;5,9;100;0;0;5;5;1;0;05/03/2018;1 Ouest;135;4;116,5;NO
2;15,5;0,5;120;0;0;2,1;5;0;0;05/03/2018;1 Ouest;135;4;116,5;NO
3;23,4;4,2;126;0;0;7,5;5;1;0;05/03/2018;1 Ouest;135;4;116,5;NO
