N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;28;7;58;0;0;10;3;1;0;21/03/2018;2 Est;144;1;26,5;SO
2;109;10;127;0;0;2,5;4;0;0;21/03/2018;2 Est;144;1;26,5;SO
1;55;2,5;87,5;0;0;10;2;1;0;21/03/2018;2 Est;144;2;296,5;SE
1;37;5;67;0;2,7;5;5;0;0;21/03/2018;2 Est;144;3;206,5;NE
2;110;2;50;0;0;14;3;1;0;21/03/2018;2 Est;144;3;206,5;NE
1;52;4,2;0;39,5;26;0,8;5;0;0;21/03/2018;2 Est;144;4;116,5;NO
2;70;6,4;37;0;0;2,9;5;0;0;21/03/2018;2 Est;144;4;116,5;NO
3;88;0;0;28;24;1,2;3;0;0;21/03/2018;2 Est;144;4;116,5;NO
