N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;13;0;10;12;4,4;5;280;1;0;11/03/2018;2 Est;325;1;26,5;SO
2;55;0;32;26;20;3;280;1;0;11/03/2018;2 Est;325;1;26,5;SO
3;55,3;0;22;21;4;3;280;0;0;11/03/2018;2 Est;325;1;26,5;SO
4;61;0;39;38;11;2;0;1;0;11/03/2018;2 Est;325;1;26,5;SO
5;80;0;0;28;4,7;5;300;1;0;11/03/2018;2 Est;325;1;26,5;SO
6;95;0;0;19;3,9;5;60;1;0;11/03/2018;2 Est;325;1;26,5;SO
1;14;0;38;43;11,4;4;210;1;0;11/03/2018;2 Est;325;2;296,5;SE
2;20;0;20;13;11,9;3;340;1;0;11/03/2018;2 Est;325;2;296,5;SE
3;45;0;22;20;7,6;5;130;1;0;11/03/2018;2 Est;325;2;296,5;SE
4;52;0;48;57;7;5;210;1;1;11/03/2018;2 Est;325;2;296,5;SE
1;18;0;0;30;13,5;5;320;1;0;11/03/2018;2 Est;325;3;206,5;NE
2;38;0;21;20;6,5;5;120;1;0;11/03/2018;2 Est;325;3;206,5;NE
1;29;0;0;30;1,17;5;30;0;0;11/03/2018;2 Est;325;4;116,5;NO
2;47;46;12;14;6,5;5;30;1;0;11/03/2018;2 Est;325;4;116,5;NO
