N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;11;0;0;17,3;2,4;5;30;0;0;09/04/2018;1 Est;165;1;26,5;SO
2;14;0;0;11,7;1,7;5;30;0;0;09/04/2018;1 Est;165;1;26,5;SO
3;57;0;0;27;1,3;5;110;1;0;09/04/2018;1 Est;165;1;26,5;SO
4;97,5;0;0;21;1,56;4;270;1;0;09/04/2018;1 Est;165;1;26,5;SO
1;24;0;52,4;65;25;5;0;1;0;09/04/2018;1 Est;165;2;296,5;SE
2;100;0;0;27;14;5;240;1;0;09/04/2018;1 Est;165;2;296,5;SE
1;40;0;21,7;20,6;5;4;150;0;0;09/04/2018;1 Est;165;3;206,5;NE
2;50;0;0;14;2;4;280;1;0;09/04/2018;1 Est;165;3;206,5;NE
3;66;0;0;28;9,8;5;330;1;0;09/04/2018;1 Est;165;3;206,5;NE
4;70;0;0;32,8;13,5;4;330;1;0;09/04/2018;1 Est;165;3;206,5;NE
5;85;0;0;22,6;3;5;270;1;0;09/04/2018;1 Est;165;3;206,5;NE
7;99;0;0;26;1,2;4;300;1;0;09/04/2018;1 Est;165;3;206,5;NE
1;5,5;0;0;38;6;5;30;1;1;09/04/2018;1 Est;165;4;116,5;NO
2;26;0;11,2;12;1,11;3;180;0;0;09/04/2018;1 Est;165;4;116,5;NO
3;40;0;11;16;2,34;3;170;0;0;09/04/2018;1 Est;165;4;116,5;NO
4;52;0;0;22,3;7;5;90;1;0;09/04/2018;1 Est;165;4;116,5;NO
5;71;51,5;0;30,5;12;5;60;1;0;09/04/2018;1 Est;165;4;116,5;NO
6;76;0;16;14,2;10,5;5;210;1;0;09/04/2018;1 Est;165;4;116,5;NO
7;80;0;0;14,4;4,2;5;180;0;0;09/04/2018;1 Est;165;4;116,5;NO
8;90;0;0;13;5,4;5;190;0;0;09/04/2018;1 Est;165;4;116,5;NO
9;106;0;0;32;8;5;210;0;0;09/04/2018;1 Est;165;4;116,5;NO
