N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;33;62;20;19;9;3;150;1;0;21/04/2018;1 Est;164;1;26,5;SO
2;36;0;0;18;9,6;4;300;1;0;21/04/2018;1 Est;164;1;26,5;SO
3;53,5;48;20;20;2,75;3;270;1;0;21/04/2018;1 Est;164;1;26,5;SO
4;66,5;0;0;10;1,9;2;0;0;0;21/04/2018;1 Est;164;1;26,5;SO
5;85;0;0;10;1,63;4;60;0;0;21/04/2018;1 Est;164;1;26,5;SO
1;46,3;0;0;10;5,4;3;120;0;0;21/04/2018;1 Est;164;2;296,5;SE
1;30;0;0;33;7,6;5;300;1;0;21/04/2018;1 Est;164;3;206,5;NE
2;41;0;0;20;5,7;5;270;1;0;21/04/2018;1 Est;164;3;206,5;NE
3;69,5;0;0;10,3;1,4;5;150;0;0;21/04/2018;1 Est;164;3;206,5;NE
1;29,5;51;16;15;12,3;2;10;1;0;21/04/2018;1 Est;164;4;116,5;NO
2;56,5;0;0;21;2,3;5;60;1;0;21/04/2018;1 Est;164;4;116,5;NO
3;60;0;0;12;0,8;5;120;0;0;21/04/2018;1 Est;164;4;116,5;NO
4;87;0;0;61;21,5;4;210;1;0;21/04/2018;1 Est;164;4;116,5;NO
5;96,5;0;0;20;5,2;4;300;0;0;21/04/2018;1 Est;164;4;116,5;NO
6;98;0;0;18;9,7;4;180;0;0;21/04/2018;1 Est;164;4;116,5;NO
