N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;3,9;0;0;21,5;6,6;5;120;1;0;10/04/2018;1 Ouest;94;1;26,5;SO
2;42;0;0;17,1;1,1;5;270;0;0;10/04/2018;1 Ouest;94;1;26,5;SO
3;42,5;0;0;15;0,42;5;240;0;0;10/04/2018;1 Ouest;94;1;26,5;SO
1;35;0;0;20;1,8;5;35;1;0;10/04/2018;1 Ouest;94;2;296,5;SE
1;1,3;0;0;13;2,1;5;155;1;0;10/04/2018;1 Ouest;94;3;206,5;NE
2;14;0;0;50,8;21;1;90;1;0;10/04/2018;1 Ouest;94;3;206,5;NE
1;7,8;0;0;11,7;1,93;4;340;0;0;10/04/2018;1 Ouest;94;4;116,5;NO
2;23;0;0;23,5;1,2;5;35;0;0;10/04/2018;1 Ouest;94;4;116,5;NO
3;28;0;0;11,5;1,5;5;30;0;0;10/04/2018;1 Ouest;94;4;116,5;NO
4;36;0;0;28,4;8;4;190;1;0;10/04/2018;1 Ouest;94;4;116,5;NO
5;37;0;0;18,5;8,5;5;150;1;0;10/04/2018;1 Ouest;94;4;116,5;NO
6;64;0;65;45,3;24;4;30;1;0;10/04/2018;1 Ouest;94;4;116,5;NO
7;67;0;102;107;13;4;65;1;0;10/04/2018;1 Ouest;94;4;116,5;NO
8;74;0;0;17;16;4;90;1;0;10/04/2018;1 Ouest;94;4;116,5;NO
