N°;X;Y;CIRCdbh ;CIRClow;CIRChigh;H;decay;crown;hollow;date;plot;square;transect;angle;start
1;12;6;0;51;35;0,5;5;0;0;09/04/2018;1 Est;163;1;26,5;SO
2;12,2;6,5;0;56;60;0,45;5;0;0;09/04/2018;1 Est;163;1;26,5;SO
3;41;4;77,9;0;0;11,5;2;0;0;09/04/2018;1 Est;163;1;26,5;SO
1;26;3;171;0;0;29;3;0;0;09/03/2018;1 Est;163;2;296,5;SE
2;53;1;0;129;145;0,9;4;0;1;09/03/2018;1 Est;163;2;296,5;SE
1;16;4,5;0;76;46;0,45;5;0;0;09/04/2018;1 Est;163;3;206,5;NE
2;39;6,5;52;0;0;11;4;1;0;09/04/2018;1 Est;163;3;206,5;NE
3;109;7,9;80;0;0;3,5;4;0;1;09/04/2018;1 Est;163;3;206,5;NE
1;35;6;154;0;0;6;3;0;0;09/04/2018;1 Est;163;4;116,5;NO
2;39;2;142;0;0;14;3;1;0;09/04/2018;1 Est;163;4;116,5;NO
3;83;3;0;50;38;0,87;1;0;0;09/04/2018;1 Est;163;4;116,5;NO
