N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;24;0;0;17;1,5;5;115;0;0;13/03/2018;2 Ouest;217;1;26,5;SO
2;39;0;0;83;17;5;270;1;1;13/03/2018;2 Ouest;217;1;26,5;SO
3;88;0;45;47;14;4;90;1;0;13/03/2018;2 Ouest;217;1;26,5;SO
1;6;0;16;14;5,6;5;90;1;0;13/03/2018;2 Ouest;217;2;296,5;SE
2;15;0;30;29;6;5;270;0;0;13/03/2018;2 Ouest;217;2;296,5;SE
3;23;0;16;19;3,4;5;30;1;0;13/03/2018;2 Ouest;217;2;296,5;SE
4;32;0;0;20;1,5;5;130;0;0;13/03/2018;2 Ouest;217;2;296,5;SE
5;39;0;0;13;6,3;5;180;1;0;13/03/2018;2 Ouest;217;2;296,5;SE
6;55;51;16;17;7;4;100;1;0;13/03/2018;2 Ouest;217;2;296,5;SE
7;102;0;12;10;1,4;4;150;0;0;13/03/2018;2 Ouest;217;2;296,5;SE
1;0,5;38,5;11;13;4,4;3;190;0;0;13/03/2018;2 Ouest;217;3;206,5;NE
2;24;0;0;50;15;5;160;1;0;13/03/2018;2 Ouest;217;3;206,5;NE
3;30;0;0;60;14,5;5;290;1;0;13/03/2018;2 Ouest;217;3;206,5;NE
4;39,5;0;0;22;10;5;180;0;0;13/03/2018;2 Ouest;217;3;206,5;NE
5;58;0;30;30;9,4;5;270;1;0;13/03/2018;2 Ouest;217;3;206,5;NE
6;72;0;0;34;6,1;5;270;1;1;13/03/2018;2 Ouest;217;3;206,5;NE
7;78;0;0;32;6;5;210;1;0;13/03/2018;2 Ouest;217;3;206,5;NE
8;98;0;0;16;3;5;330;0;0;13/03/2018;2 Ouest;217;3;206,5;NE
9;100;35;10;13;0,5;3;90;0;0;13/03/2018;2 Ouest;217;3;206,5;NE
10;105;0;12;16;2,3;5;130;0;0;13/03/2018;2 Ouest;217;3;206,5;NE
11;106,5;0;24;19;1,6;5;180;0;0;13/03/2018;2 Ouest;217;3;206,5;NE
12;108;0;17;14;0,72;5;0;0;0;13/03/2018;2 Ouest;217;3;206,5;NE
13;110;0;29;31;11,5;2;300;1;0;13/03/2018;2 Ouest;217;3;206,5;NE
1;35;54,5;16;17;1,47;3;180;0;0;13/03/2018;2 Ouest;217;4;116,5;NO
2;70;0;15;20;2,6;4;210;0;0;13/03/2018;2 Ouest;217;4;116,5;NO
3;104,5;0;22;24;8,9;4;40;1;0;13/03/2018;2 Ouest;217;4;116,5;NO
