N°;X;circumf;Dh;Dv;L;decay;direction;trunk;hollow;date;plot;square;transect;angle;start
1;5,2;79;24,3;23;16;2;115;1;0;17/04/2018;2 Ouest;199;1;26,5;SO
2;7;0;15,8;17,2;2,56;4;155;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
3;18;0;0;29,6;5,7;5;215;1;0;17/04/2018;2 Ouest;199;1;26,5;SO
4;21,5;0;0;17,3;1,8;5;330;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
5;30,5;0;0;10,5;5,4;4;210;1;0;17/04/2018;2 Ouest;199;1;26,5;SO
6;35;0;13,7;12,9;8;3;160;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
7;36,5;0;23;22,6;11;3;190;1;0;17/04/2018;2 Ouest;199;1;26,5;SO
8;38;0;0;10;2,2;4;225;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
9;43;0;0;20;8;4;210;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
10;44;56;16;17;4;3;120;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
11;65;0;0;11;1,1;5;180;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
12;70;0;0;11;1;5;310;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
13;71;0;0;10,3;2,3;5;180;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
14;76;44,5;15,5;12;6,5;4;325;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
15;87;0;0;75,6;9;5;340;1;0;17/04/2018;2 Ouest;199;1;26,5;SO
16;96;0;0;17;2,4;4;30;0;0;17/04/2018;2 Ouest;199;1;26,5;SO
17;106;184;52;53;18;2;190;1;0;17/04/2018;2 Ouest;199;1;26,5;SO
1;2,7;0;0;10,4;1,3;3;60;1;0;17/04/2018;2 Ouest;199;2;296,5;SE
2;7;0;0;10,4;6;2;130;0;0;17/04/2018;2 Ouest;199;2;296,5;SE
3;49;0;0;16,3;2,46;4;90;1;0;17/04/2018;2 Ouest;199;2;296,5;SE
4;54,5;0;47,3;48,3;14;4;90;1;0;17/04/2018;2 Ouest;199;2;296,5;SE
1;39;0;0;55,3;5,7;4;60;1;0;17/04/2018;2 Ouest;199;3;206,5;NE
2;43;0;29,7;23,1;1,38;5;150;0;0;17/04/2018;2 Ouest;199;3;206,5;NE
1;17;0;0;24;1,7;5;0;1;0;17/04/2018;2 Ouest;199;4;116,5;NO
2;26;0;0;14;10;2;330;1;0;17/04/2018;2 Ouest;199;4;116,5;NO
3;59;0;0;14,5;0,8;5;75;0;0;17/04/2018;2 Ouest;199;4;116,5;NO
